Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Daniel Mosquera,3,1,1,0,0,12,0,2024-08-18,24-303,co COL,Hellas Verona,,Napoli,it Serie A,W 3-0,N,18,2,0,2,2,0,0,0,3,0.67,0.67,3,100.0,11.7,0,1,5,20.0,1,0,0,0,0,14,0,1,2,50.0,0,1,0.0,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,1,7,4,2,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,FW,Match Report
2,Paweł Dawidowicz,0,22,0,0,0,30,0,2024-08-18,29-090,pl POL,Hellas Verona,,Napoli,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,27,81.5,0,0,0,0,1,329,120,11,11,100.0,10,11,90.9,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,17,13,0,0,30,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,0,0,0,1,1,"DF,MF",Match Report
3,Diego Coppola,0,19,0,0,1,35,0,2024-08-18,20-234,it ITA,Hellas Verona,,Napoli,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,19,25,76.0,0,1,0,0,1,351,125,7,8,87.5,12,14,85.7,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,20,16,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,3,3,5,0,1,0,0,3,0,DF,Match Report
4,Grigoris Kastanos,1,12,2,0,0,22,0,2024-08-18,26-201,cy CYP,Hellas Verona,,Napoli,it Serie A,W 3-0,Y,57,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.7,0,12,19,63.2,1,0,1,0,3,192,29,6,10,60.0,4,6,66.7,1,2,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,11,11,0,22,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,1,2,"MF,FW",Match Report
5,Darko Lazović,1,12,2,2,0,34,5,2024-08-18,33-338,rs SRB,Hellas Verona,,Napoli,it Serie A,W 3-0,Y,90,0,2,2,0,0,0,0,1,0.0,,0,0.0,13.7,0,12,23,52.2,2,0,2,1,3,197,143,7,7,100.0,5,12,41.7,0,3,0.0,2,1,0,0,1,0,0,2,1,0,0,1,0,0,34,1,7,16,11,1,34,5,3,1,4,0,2,6,33.3,4,2,0,2,0,5,1,0,0,0,0,2,1,"DF,MF",Match Report
6,Abdou Harroui,0,7,2,0,0,10,0,2024-08-18,26-218,nl NED,Hellas Verona,,Napoli,it Serie A,W 3-0,N,17,0,0,0,0,0,0,0,0,,,0,,,0,7,8,87.5,0,0,0,0,0,97,10,4,4,100.0,2,3,66.7,0,0,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,10,1,2,3,5,1,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,"MF,FW",Match Report
7,Reda Belahyane,0,22,1,0,1,28,1,2024-08-18,20-078,ma MAR,Hellas Verona,,Napoli,it Serie A,W 3-0,N,70,0,0,0,0,0,0,0,0,,,0,,,0,22,25,88.0,0,2,0,0,2,384,82,12,14,85.7,6,6,100.0,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,13,16,1,0,28,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,1,0,0,2,0,MF,Match Report
8,Ondrej Duda,0,29,3,2,1,45,1,2024-08-18,29-257,sk SVK,Hellas Verona,,Napoli,it Serie A,W 3-0,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,29,39,74.4,2,5,2,0,7,573,247,12,16,75.0,12,15,80.0,4,7,57.1,3,2,1,0,0,0,0,2,2,0,0,0,0,0,45,2,12,26,8,0,45,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,0,0,1,0,0,3,5,MF,Match Report
9,Tomáš Suslov,0,2,1,1,0,14,4,2024-08-18,22-072,sk SVK,Hellas Verona,,Napoli,it Serie A,W 3-0,N,33,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,41,0,0,0,,0,0,,1,1,100.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,14,0,6,8,1,0,14,4,2,1,3,0,1,1,100.0,0,3,0,3,0,4,0,0,0,0,0,0,2,"MF,FW",Match Report
10,Jackson Tchatchoua,1,22,2,0,1,32,2,2024-08-18,22-339,cm CMR,Hellas Verona,,Napoli,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,19.4,0,22,27,81.5,2,1,1,1,1,290,145,14,14,100.0,6,8,75.0,1,3,33.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32,1,8,14,10,1,32,2,1,2,0,0,2,2,100.0,0,2,1,1,2,4,0,0,1,0,0,1,0,"DF,MF",Match Report
