Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Kristjan Asllani,1,1,0,0,1,4,0,2024-08-17,22-161,al ALB,Inter,@,Genoa,it Serie A,D 2-2,N,5,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,4.9,0,1,2,50.0,0,0,0,0,0,19,0,0,0,,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,MF,Match Report
2,Davide Frattesi,1,4,1,1,0,11,0,2024-08-17,24-300,it ITA,Inter,@,Genoa,it Serie A,D 2-2,N,25,0,1,1,0,0,0,0,1,0.0,,0,0.0,10.0,0,4,6,66.7,1,0,1,0,2,82,28,1,1,100.0,3,5,60.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,11,1,3,4,4,2,11,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,0,0,0,1,1,MF,Match Report
3,Yann Aurel Bisseck,3,56,2,0,0,73,0,2024-08-17,23-262,de GER,Inter,@,Genoa,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,10.5,0,56,60,93.3,0,4,1,0,8,896,285,25,26,96.2,30,32,93.8,0,1,0.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,73,3,17,39,17,3,73,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,3,0,0,0,0,3,1,DF,Match Report
4,Yann Sommer,0,24,0,0,0,34,0,2024-08-17,35-244,ch SUI,Inter,@,Genoa,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,31,77.4,0,0,0,0,0,414,275,8,8,100.0,15,16,93.8,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,34,0,0,0,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,GK,Match Report
5,Denzel Dumfries,0,8,1,0,0,14,1,2024-08-17,28-121,nl NED,Inter,@,Genoa,it Serie A,D 2-2,N,25,0,0,0,0,0,0,0,0,,,0,,,0,8,12,66.7,1,1,1,1,0,175,64,3,3,100.0,2,4,50.0,3,5,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,6,7,0,14,1,1,0,0,1,1,3,33.3,2,0,0,0,0,1,0,0,0,0,0,1,0,"DF,FW",Match Report
6,Mehdi Taremi,0,3,1,0,0,5,0,2024-08-17,32-030,ir IRN,Inter,@,Genoa,it Serie A,D 2-2,N,16,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,0,0,1,51,15,1,1,100.0,2,2,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
7,Nicolò Barella,1,55,5,2,0,71,0,2024-08-17,27-192,it ITA,Inter,@,Genoa,it Serie A,D 2-2,Y,90,0,1,1,0,0,0,0,1,0.0,,0,0.0,23.6,0,55,65,84.6,3,8,2,1,8,883,174,28,30,93.3,26,27,96.3,1,3,33.3,5,4,0,0,1,0,0,2,2,0,0,0,0,0,71,0,5,45,21,1,71,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0,0,0,0,0,2,MF,Match Report
8,Marcus Thuram,5,8,2,0,0,26,1,2024-08-17,27-011,fr FRA,Inter,@,Genoa,it Serie A,D 2-2,Y,90,2,0,2,2,0,0,0,5,0.4,0.4,5,100.0,12.2,0,8,14,57.1,2,0,0,0,1,92,28,6,8,75.0,2,5,40.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,26,1,3,5,18,12,26,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,0,0,0,1,1,FW,Match Report
9,Alessandro Bastoni,0,67,2,0,0,88,2,2024-08-17,25-126,it ITA,Inter,@,Genoa,it Serie A,D 2-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,67,79,84.8,2,5,0,0,5,1168,271,29,30,96.7,34,36,94.4,3,11,27.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,88,7,23,49,17,0,88,2,0,1,1,0,2,2,100.0,0,1,0,1,0,2,2,0,0,0,0,1,1,DF,Match Report
10,Carlos Augusto,0,5,0,0,0,7,0,2024-08-17,25-223,br BRA,Inter,@,Genoa,it Serie A,D 2-2,N,16,0,0,0,0,0,0,0,0,,,0,,,0,5,7,71.4,0,0,0,0,0,96,0,1,1,100.0,3,3,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2,1,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
