Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Walid Cheddira,0,2,1,0,0,3,0,2024-08-18,26-209,ma MAR,Napoli,@,Hellas Verona,it Serie A,L 0-3,N,12,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,1,1,0,0,1,28,14,1,2,50.0,1,1,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
2,Giovanni Di Lorenzo,0,54,4,0,0,73,2,2024-08-18,31-014,it ITA,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,54,67,80.6,3,2,3,2,9,940,371,23,28,82.1,28,33,84.8,3,5,60.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,73,2,14,40,19,4,73,2,2,1,1,0,2,3,66.7,1,0,0,0,1,3,1,0,0,0,0,0,0,DF,Match Report
3,Cyril Ngonge,2,6,0,0,0,14,1,2024-08-18,24-084,be BEL,Napoli,@,Hellas Verona,it Serie A,L 0-3,N,12,0,0,0,0,0,0,0,2,0.0,0.0,2,100.0,20.9,0,6,7,85.7,0,1,0,0,2,114,39,2,3,66.7,3,3,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,7,7,1,14,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2,FW,Match Report
4,Giovanni Simeone,0,12,1,0,0,23,0,2024-08-18,29-044,ar ARG,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,78,0,0,0,0,0,0,0,0,,,0,,,0,12,18,66.7,1,0,0,0,2,150,21,9,10,90.0,3,6,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,13,9,1,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,3,FW,Match Report
5,Leonardo Spinazzola,0,19,0,0,0,25,0,2024-08-18,31-146,it ITA,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,50,0,0,0,0,0,0,0,0,,,0,,,0,19,23,82.6,0,2,1,1,1,290,60,12,12,100.0,6,7,85.7,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,12,6,0,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"DF,FW",Match Report
6,Mathías Olivera,0,18,1,0,0,25,1,2024-08-18,26-292,uy URU,Napoli,@,Hellas Verona,it Serie A,L 0-3,N,40,0,0,0,0,0,0,0,0,,,0,,,0,18,23,78.3,0,3,0,0,0,258,62,11,12,91.7,7,9,77.8,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,16,4,0,25,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,DF,Match Report
7,Amir Rrahmani,1,78,1,0,0,94,0,2024-08-18,30-176,xk KVX,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,7.3,0,78,88,88.6,0,9,0,0,8,1434,489,26,28,92.9,48,54,88.9,4,6,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,94,4,32,59,3,1,94,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,2,DF,Match Report
8,Matteo Politano,2,34,6,0,0,52,0,2024-08-18,31-015,it ITA,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,22.5,0,34,50,68.0,3,5,1,0,7,642,238,15,19,78.9,14,19,73.7,4,9,44.4,6,3,3,0,0,0,0,0,0,0,0,0,0,0,52,0,0,24,29,2,52,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
9,Andre-Frank Zambo Anguissa,4,53,2,0,0,69,0,2024-08-18,28-276,cm CMR,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,90,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,22.3,0,53,57,93.0,1,4,1,0,6,785,251,32,35,91.4,18,19,94.7,2,2,100.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,69,0,8,45,17,2,69,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,0,0,0,5,2,MF,Match Report
10,Giacomo Raspadori,1,15,0,0,1,31,1,2024-08-18,24-182,it ITA,Napoli,@,Hellas Verona,it Serie A,L 0-3,N,46,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.2,0,15,21,71.4,0,0,0,0,3,221,74,5,6,83.3,8,9,88.9,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,18,13,3,31,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,1,0,0,2,1,"FW,MF",Match Report
11,Juan Jesus,1,62,0,0,0,76,0,2024-08-18,33-069,br BRA,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,78,0,0,0,0,0,0,0,1,0.0,,0,0.0,5.6,0,62,73,84.9,0,6,0,0,7,1100,476,24,26,92.3,34,38,89.5,4,7,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,3,25,50,2,1,76,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,1,0,DF,Match Report
12,Alex Meret,0,31,0,0,0,35,0,2024-08-18,27-149,it ITA,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,34,91.2,0,0,0,0,0,604,333,11,11,100.0,16,16,100.0,4,7,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,35,0,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
13,Khvicha Kvaratskhelia,2,13,1,0,0,23,1,2024-08-18,23-188,ge GEO,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,44,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,15.1,0,13,13,100.0,0,0,0,0,0,160,23,10,10,100.0,3,3,100.0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,14,9,2,23,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,1,3,"FW,MF",Match Report
14,Stanislav Lobotka,1,62,1,0,0,77,1,2024-08-18,29-267,sk SVK,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,18.1,0,62,73,84.9,1,2,0,0,4,998,248,28,31,90.3,33,36,91.7,1,4,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,77,1,9,56,12,1,77,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,0,0,0,2,0,MF,Match Report
15,Pasquale Mazzocchi,0,33,3,0,0,48,1,2024-08-18,29-022,it ITA,Napoli,@,Hellas Verona,it Serie A,L 0-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,42,78.6,0,1,2,0,4,498,186,21,22,95.5,11,17,64.7,1,2,50.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,48,1,8,19,23,0,48,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,0,0,0,1,1,"DF,FW",Match Report
16,Giovanni Di Lorenzo,1,32,2,0,0,45,1,2024-08-25,31-021,it ITA,Napoli,,Bologna,it Serie A,W 3-0,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,7.8,0,32,36,88.9,2,6,0,0,5,469,279,19,21,90.5,9,10,90.0,3,4,75.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,45,7,24,18,4,3,45,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,5,0,0,0,0,4,2,DF,Match Report
17,Giovanni Simeone,1,4,1,0,0,7,0,2024-08-25,29-051,ar ARG,Napoli,,Bologna,it Serie A,W 3-0,N,7,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,8.2,0,4,5,80.0,0,1,0,0,0,39,9,4,5,80.0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,2,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
18,Leonardo Spinazzola,1,8,0,0,0,15,1,2024-08-25,31-153,it ITA,Napoli,,Bologna,it Serie A,W 3-0,N,14,0,0,0,0,0,0,0,1,0.0,,0,0.0,18.6,0,8,11,72.7,0,0,0,0,0,108,42,3,5,60.0,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,10,1,15,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"DF,FW",Match Report
