Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Pontus Almqvist,0,4,1,0,0,9,1,2024-08-17,25-038,se SWE,Parma,,Fiorentina,it Serie A,D 1-1,N,26,0,0,0,0,0,0,0,0,,,0,,,0,4,6,66.7,1,0,0,0,0,35,6,4,4,100.0,0,1,0.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,4,4,1,9,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,0,0,0,0,0,1,0,"FW,MF",Match Report
2,Alessandro Circati,0,27,0,0,1,46,2,2024-08-17,20-312,au AUS,Parma,,Fiorentina,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,31,87.1,0,1,0,0,1,486,193,13,15,86.7,13,14,92.9,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,15,31,15,0,0,46,2,1,1,1,0,0,0,,0,1,1,0,1,3,10,0,1,0,0,1,0,DF,Match Report
3,Dennis Man,2,13,4,0,0,23,1,2024-08-17,25-357,ro ROU,Parma,,Fiorentina,it Serie A,D 1-1,Y,64,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,15.5,0,13,18,72.2,2,0,3,1,2,146,50,11,13,84.6,2,2,100.0,0,3,0.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,23,1,5,5,13,2,23,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0,0,0,0,0,1,"FW,MF",Match Report
4,Botond Balogh,0,11,0,0,1,23,2,2024-08-17,22-072,hu HUN,Parma,,Fiorentina,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,11,13,84.6,0,0,0,0,1,231,53,1,2,50.0,9,9,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,17,5,1,0,23,2,0,1,1,0,2,3,66.7,1,0,0,0,1,3,6,0,1,0,0,2,1,DF,Match Report
5,Wylan Cyprien,1,8,0,0,0,13,0,2024-08-17,29-202,fr FRA,Parma,,Fiorentina,it Serie A,D 1-1,N,11,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.2,0,8,11,72.7,0,2,0,0,2,138,99,6,6,100.0,0,1,0.0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,5,6,1,13,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
6,Zion Suzuki,0,28,0,0,0,43,0,2024-08-17,21-362,jp JPN,Parma,,Fiorentina,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,37,75.7,0,1,0,0,0,832,655,4,4,100.0,15,15,100.0,9,18,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,35,43,0,0,0,43,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,1,0,GK,Match Report
7,Drissa Camara,1,7,0,0,0,14,0,2024-08-17,22-181,ci CIV,Parma,,Fiorentina,it Serie A,D 1-1,N,26,0,0,0,0,0,0,0,1,0.0,,0,0.0,19.1,0,7,10,70.0,0,1,0,0,2,100,27,4,6,66.7,3,3,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,4,5,5,1,14,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,"MF,FW",Match Report
8,Adrian Bernabe,1,20,1,0,0,31,1,2024-08-17,23-083,es ESP,Parma,,Fiorentina,it Serie A,D 1-1,Y,79,0,0,0,0,0,0,0,1,0.0,,0,0.0,35.0,0,20,24,83.3,1,2,0,0,2,395,118,5,8,62.5,9,9,100.0,4,5,80.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,31,2,6,20,5,0,31,1,1,0,1,0,1,1,100.0,0,2,2,0,0,1,0,0,0,0,0,2,1,MF,Match Report
9,Ange-Yoan Bonny,1,9,6,1,0,19,0,2024-08-17,20-297,fr FRA,Parma,,Fiorentina,it Serie A,D 1-1,Y,64,0,1,1,0,0,0,0,1,0.0,0.0,1,100.0,15.5,0,9,13,69.2,4,0,1,0,3,120,36,5,7,71.4,2,3,66.7,1,1,100.0,6,6,0,0,0,0,0,1,1,0,0,0,0,0,19,0,0,5,15,2,19,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
10,Antoine Hainaut,0,4,0,0,0,10,0,2024-08-17,22-181,fr FRA,Parma,,Fiorentina,it Serie A,D 1-1,N,26,0,0,0,0,0,0,0,0,,,0,,,0,4,7,57.1,0,2,0,0,1,91,51,1,2,50.0,2,2,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,6,3,1,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"DF,FW",Match Report
