Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Hassane Kamara,0,13,0,0,0,25,2,2024-08-18,30-166,ci CIV,Udinese,@,Bologna,it Serie A,D 1-1,Y,81,0,0,0,0,0,0,0,0,,,0,,,0,13,16,81.3,0,1,0,0,1,264,130,5,6,83.3,6,6,100.0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,11,10,5,0,25,2,1,0,2,0,0,0,,0,1,0,1,2,4,4,0,0,0,0,1,0,DF,Match Report
2,Brenner,0,6,0,0,0,18,1,2024-08-18,24-215,br BRA,Udinese,@,Bologna,it Serie A,D 1-1,Y,81,0,1,1,0,0,0,0,0,,,0,,,0,6,11,54.5,1,0,1,1,0,118,21,3,3,100.0,1,3,33.3,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,7,8,3,0,18,1,0,0,1,0,1,2,50.0,1,1,0,1,1,2,2,0,0,0,0,0,1,"MF,FW",Match Report
3,Florian Thauvin,0,10,1,1,0,34,1,2024-08-18,31-205,fr FRA,Udinese,@,Bologna,it Serie A,D 1-1,Y,75,0,0,0,0,0,1,1,0,,,0,,,0,10,20,50.0,0,1,1,1,3,199,57,4,4,100.0,4,10,40.0,1,3,33.3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,34,0,6,12,17,2,33,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,0,0,0,2,1,"FW,MF",Match Report
4,Jaka Bijol,0,13,0,0,0,30,1,2024-08-18,25-195,si SVN,Udinese,@,Bologna,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,16,81.3,0,0,0,0,0,246,87,4,4,100.0,7,7,100.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14,26,4,0,0,30,1,1,1,0,0,0,1,0.0,1,3,2,1,1,2,6,0,0,0,0,1,0,DF,Match Report
5,Jurgen Ekkelenkamp,0,3,1,0,0,5,0,2024-08-18,24-135,nl NED,Udinese,@,Bologna,it Serie A,D 1-1,N,15,0,0,0,0,0,0,0,0,,,0,,,0,3,5,60.0,0,0,0,0,0,37,4,2,2,100.0,1,1,100.0,0,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,1,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,MF,Match Report
6,Kingsley Ehizibue,0,17,0,0,1,32,1,2024-08-18,29-085,nl NED,Udinese,@,Bologna,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,17,23,73.9,0,1,0,0,1,236,85,9,11,81.8,6,7,85.7,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,15,12,5,1,32,1,1,1,0,0,1,2,50.0,1,4,1,3,0,1,3,0,1,0,0,3,2,DF,Match Report
7,Lorenzo Lucca,0,7,0,0,1,23,3,2024-08-18,23-343,it ITA,Udinese,@,Bologna,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,7,14,50.0,0,1,0,0,1,94,28,4,7,57.1,2,4,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,14,8,2,23,3,2,0,1,2,0,0,,0,0,0,0,0,3,0,0,1,0,0,3,5,FW,Match Report
8,Sandi Lovrić,0,11,0,0,0,25,1,2024-08-18,26-143,si SVN,Udinese,@,Bologna,it Serie A,D 1-1,Y,57,0,0,0,0,0,0,0,0,,,0,,,0,11,16,68.8,0,0,0,0,3,146,43,5,6,83.3,5,8,62.5,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,11,4,10,0,25,1,1,1,0,0,0,0,,0,2,0,2,1,2,0,0,0,0,0,2,1,MF,Match Report
9,Keinan Davis,0,0,0,0,0,2,0,2024-08-18,26-187,eng ENG,Udinese,@,Bologna,it Serie A,D 1-1,N,9,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
10,Maduka Okoye,0,8,0,0,1,28,0,2024-08-18,24-356,ng NGA,Udinese,@,Bologna,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,8,22,36.4,0,0,0,0,0,279,239,0,0,,3,3,100.0,5,19,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,0,0,0,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,GK,Match Report
