Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Jay Idzes,1,76,4,0,0,96,0,2024-11-25,24-176,id IDN,Venezia,,Lecce,it Serie A,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,9.2,0,76,86,88.4,2,8,1,0,7,1396,686,30,32,93.8,40,41,97.6,6,11,54.5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,96,7,27,56,13,1,96,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,0,0,0,0,0,DF,Match Report
202,Hans Nicolussi Caviglia,1,49,5,0,0,65,1,2024-11-25,24-160,it ITA,Venezia,,Lecce,it Serie A,L 0-1,Y,73,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.4,1,49,58,84.5,2,6,0,0,4,825,225,26,28,92.9,15,16,93.8,7,10,70.0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,65,0,2,42,22,1,65,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,2,MF,Match Report
203,Mikael Ellertsson,1,27,1,0,0,55,3,2024-11-25,22-259,is ISL,Venezia,,Lecce,it Serie A,L 0-1,Y,88,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.6,0,27,37,73.0,0,1,0,0,3,405,84,17,19,89.5,9,13,69.2,1,2,50.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,55,1,10,17,29,1,55,3,1,3,0,0,2,3,66.7,1,2,0,2,2,5,1,0,0,0,0,2,2,"DF,MF",Match Report
204,Ridgeciano Haps,0,11,0,0,0,17,0,2024-11-25,31-166,sr SUR,Venezia,,Lecce,it Serie A,L 0-1,N,17,0,0,0,0,0,0,0,0,,,0,,,0,11,16,68.8,0,1,0,0,0,145,19,7,8,87.5,4,7,57.1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,7,7,2,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,DF,Match Report
205,Antonio Raimondo,0,1,0,0,0,1,0,2024-11-25,20-252,it ITA,Venezia,,Lecce,it Serie A,L 0-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,0,0,0,0,1,17,1,0,0,,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,DF",Match Report
206,Filip Stankovic,0,23,0,0,0,29,0,2024-11-25,22-274,rs SRB,Venezia,,Lecce,it Serie A,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,29,79.3,0,0,0,0,0,462,299,7,7,100.0,11,11,100.0,5,11,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19,28,1,0,0,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
207,Joel Pohjanpalo,4,12,3,0,0,29,0,2024-11-25,30-073,fi FIN,Venezia,,Lecce,it Serie A,L 0-1,Y,82,0,0,0,0,0,0,0,4,0.0,,0,0.0,12.8,0,12,20,60.0,2,1,1,0,1,130,29,6,7,85.7,3,7,42.9,0,1,0.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,29,1,3,11,15,5,29,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,0,FW,Match Report
208,Bjarki Bjarkason,0,4,0,0,0,4,0,2024-11-25,24-198,is ISL,Venezia,,Lecce,it Serie A,L 0-1,N,2,0,0,0,0,0,0,0,0,,,0,,,0,4,4,100.0,0,0,0,0,0,72,28,1,1,100.0,3,3,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,1,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"DF,MF",Match Report
209,Marin Šverko,0,22,0,0,1,35,2,2024-11-30,26-300,hr CRO,Venezia,@,Bologna,it Serie A,L 0-3,Y,74,0,0,0,0,0,0,0,0,,,0,,,0,22,27,81.5,0,1,0,0,1,338,184,13,13,100.0,9,13,69.2,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,22,13,0,0,35,2,0,2,0,0,1,1,100.0,0,1,1,0,0,2,1,0,1,0,0,1,2,DF,Match Report
210,Domen Črnigoj,0,4,0,0,0,10,1,2024-11-30,29-012,si SVN,Venezia,@,Bologna,it Serie A,L 0-3,N,16,0,0,0,0,0,0,0,0,,,0,,,0,4,6,66.7,0,0,0,0,0,46,1,3,4,75.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,6,2,0,10,1,1,0,1,0,0,0,,0,1,0,1,1,2,0,0,0,0,0,0,0,MF,Match Report
