Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Edoardo Goldaniga,0,30,1,0,0,43,1,2025-02-23,31-113,it ITA,Como,,Napoli,it Serie A,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,33,90.9,0,2,0,0,1,550,122,14,14,100.0,14,15,93.3,2,4,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43,10,29,14,1,0,43,1,0,0,0,1,0,0,,0,1,1,0,1,2,6,0,0,0,0,1,0,DF,Match Report
402,Alieu Fadera,0,2,0,0,0,8,3,2025-02-23,23-112,gm GAM,Como,,Napoli,it Serie A,W 2-1,N,10,0,0,0,0,0,0,0,0,,,0,,,0,2,2,100.0,0,0,0,0,0,40,0,0,0,,0,0,,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,3,1,0,8,3,2,1,1,1,1,1,100.0,0,0,0,0,0,3,3,0,0,0,0,2,0,"FW,DF",Match Report
403,Máximo Perrone,0,33,0,0,0,52,2,2025-02-23,22-047,ar ARG,Como,,Napoli,it Serie A,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,40,82.5,0,1,1,0,1,508,152,16,17,94.1,15,16,93.8,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,20,24,9,1,52,2,2,1,0,1,0,0,,0,2,0,2,0,2,4,0,0,0,0,0,0,MF,Match Report
404,Jean Butez,0,19,0,0,0,38,0,2025-02-23,29-260,fr FRA,Como,,Napoli,it Serie A,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,19,34,55.9,0,2,0,0,0,607,451,2,3,66.7,10,10,100.0,7,21,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,26,37,1,0,0,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,0,0,0,0,1,GK,Match Report
405,Marc-Oliver Kempf,0,18,1,0,0,38,1,2025-02-23,30-026,de GER,Como,,Napoli,it Serie A,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,26,69.2,1,1,0,0,0,252,77,12,12,100.0,5,7,71.4,1,7,14.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,11,23,14,1,1,38,1,1,1,0,0,0,1,0.0,1,3,2,1,1,2,4,1,0,0,0,1,2,DF,Match Report
406,Anastasios Douvikas,0,0,0,0,0,2,0,2025-02-23,25-205,gr GRE,Como,,Napoli,it Serie A,W 2-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,FW,Match Report
407,Assane Diao,3,12,1,0,0,28,1,2025-02-23,19-169,sn SEN,Como,,Napoli,it Serie A,W 2-1,Y,80,1,0,1,1,0,0,0,3,0.33,1.0,1,33.3,17.0,0,12,18,66.7,0,0,0,0,1,184,38,9,10,90.0,1,2,50.0,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,4,15,9,4,28,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,0,0,0,1,3,"FW,MF",Match Report
408,Álex Valle,1,28,0,0,0,52,3,2025-02-23,20-304,es ESP,Como,,Napoli,it Serie A,W 2-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,22.6,0,28,38,73.7,0,2,0,0,3,457,153,14,16,87.5,9,12,75.0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,22,20,10,1,52,3,3,2,1,0,2,2,100.0,0,0,0,0,1,4,4,0,0,0,0,2,1,DF,Match Report
409,Patrick Cutrone,0,4,1,1,0,11,0,2025-02-23,27-051,it ITA,Como,,Napoli,it Serie A,W 2-1,N,19,0,0,0,0,0,0,0,0,,,0,,,0,4,8,50.0,0,1,0,0,0,43,7,4,7,57.1,0,0,,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,11,0,2,4,5,0,11,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
410,Gabriel Strefezza,1,15,1,0,0,43,5,2025-02-23,27-311,br BRA,Como,,Napoli,it Serie A,W 2-1,Y,89,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.6,0,15,25,60.0,0,0,0,0,1,170,32,10,11,90.9,3,5,60.0,0,4,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,43,1,7,10,26,4,43,5,4,1,1,3,2,5,40.0,3,3,0,3,1,6,2,0,0,0,0,4,3,"FW,MF",Match Report
