Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Alberto Grassi,1,24,1,0,0,41,2,2025-02-23,29-353,it ITA,Empoli,,Atalanta,it Serie A,L 0-5,Y,71,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.6,0,24,33,72.7,0,6,0,0,3,408,187,11,14,78.6,9,13,69.2,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,2,7,29,5,1,41,2,1,1,1,0,0,0,,0,0,0,0,0,2,2,0,0,0,0,0,2,MF,Match Report
402,Sebastiano Esposito,1,24,5,0,0,43,0,2025-02-23,22-236,it ITA,Empoli,,Atalanta,it Serie A,L 0-5,Y,71,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.4,0,24,34,70.6,2,6,1,0,5,337,117,12,14,85.7,9,12,75.0,1,4,25.0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,43,0,3,30,11,1,43,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,0,0,0,0,3,"FW,MF",Match Report
403,Viktor Kovalenko,1,6,0,0,0,7,1,2025-02-23,29-009,ua UKR,Empoli,,Atalanta,it Serie A,L 0-5,N,8,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.2,0,6,6,100.0,0,0,0,0,1,84,14,3,3,100.0,3,3,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,5,1,1,7,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
404,Mattia De Sciglio,0,25,0,0,0,50,2,2025-02-23,32-126,it ITA,Empoli,,Atalanta,it Serie A,L 0-5,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,29,86.2,0,0,0,0,0,475,193,10,10,100.0,13,15,86.7,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,24,25,1,0,50,2,1,1,1,0,2,3,66.7,1,0,0,0,2,4,10,0,0,0,0,0,1,DF,Match Report
405,Thomas Campaniello,1,7,0,0,0,13,0,2025-02-23,16-360,it ITA,Empoli,,Atalanta,it Serie A,L 0-5,N,19,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.8,0,7,10,70.0,0,0,0,0,0,85,0,3,5,60.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,5,7,1,13,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
406,Liam Henderson,2,42,1,0,0,67,1,2025-02-23,28-304,sct SCO,Empoli,,Atalanta,it Serie A,L 0-5,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,26.8,1,42,55,76.4,1,3,2,1,4,738,184,14,17,82.4,21,25,84.0,5,10,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,67,2,5,44,18,3,67,1,0,0,1,0,0,0,,0,1,0,1,0,1,2,0,0,0,0,1,1,MF,Match Report
407,Liberato Cacace,1,54,2,0,0,73,1,2025-02-23,24-149,nz NZL,Empoli,,Atalanta,it Serie A,L 0-5,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,16.3,0,54,65,83.1,0,4,0,0,3,893,430,22,23,95.7,19,23,82.6,6,10,60.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,73,12,31,38,6,3,73,1,0,1,0,0,0,1,0.0,1,2,0,2,0,1,3,0,0,0,0,0,1,"MF,DF",Match Report
408,Emmanuel Gyasi,0,11,0,0,0,20,0,2025-02-23,31-043,gh GHA,Empoli,,Atalanta,it Serie A,L 0-5,Y,56,0,0,0,0,0,0,0,0,,,0,,,0,11,17,64.7,0,0,0,0,0,108,21,6,8,75.0,3,4,75.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,4,10,7,1,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,"DF,FW",Match Report
409,Saba Goglichidze,0,7,0,0,0,30,1,2025-03-02,20-250,ge GEO,Empoli,@,Genoa,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,7,18,38.9,0,1,0,0,1,131,42,3,7,42.9,4,10,40.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,10,16,4,2,30,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,6,0,0,0,0,2,1,DF,Match Report
410,Lorenzo Colombo,0,3,0,0,1,11,1,2025-03-02,22-359,it ITA,Empoli,@,Genoa,it Serie A,D 1-1,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,3,8,37.5,0,0,0,0,1,36,12,2,5,40.0,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,7,2,11,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,1,1,"FW,MF",Match Report
