Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Mattia Bani,0,39,0,0,0,53,2,2025-03-02,31-082,it ITA,Genoa,,Empoli,it Serie A,D 1-1,Y,54,0,0,0,0,0,0,0,0,,,0,,,0,39,45,86.7,0,3,1,0,1,734,227,12,14,85.7,24,26,92.3,3,5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9,33,16,4,0,53,2,1,0,0,2,0,0,,0,0,0,0,0,2,4,0,0,0,0,0,1,DF,Match Report
402,Andrea Pinamonti,0,13,1,0,0,33,0,2025-03-02,25-287,it ITA,Genoa,,Empoli,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,13,25,52.0,0,0,0,0,1,218,22,6,11,54.5,4,5,80.0,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,23,10,2,33,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,FW,Match Report
403,Stefano Sabelli,0,8,0,0,0,24,1,2025-03-02,32-048,it ITA,Genoa,,Empoli,it Serie A,D 1-1,N,36,0,0,0,0,0,0,0,0,,,0,,,0,8,18,44.4,0,0,0,0,0,130,105,4,5,80.0,4,8,50.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,9,9,6,0,24,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,2,0,0,0,0,0,1,DF,Match Report
404,Patrizio Masini,0,24,0,0,0,41,2,2025-03-02,24-034,it ITA,Genoa,,Empoli,it Serie A,D 1-1,Y,66,0,0,0,0,0,0,0,0,,,0,,,0,24,29,82.8,0,0,0,0,1,380,64,9,10,90.0,12,14,85.7,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,14,24,4,1,41,2,2,1,1,0,0,0,,0,0,0,0,2,4,4,0,0,0,0,1,5,MF,Match Report
405,Aarón Martín,0,43,2,1,0,70,2,2025-03-02,27-314,es ESP,Genoa,,Empoli,it Serie A,D 1-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,43,60,71.7,2,3,1,0,6,874,425,13,13,100.0,20,27,74.1,7,15,46.7,2,0,2,0,0,0,0,1,0,1,0,0,0,0,70,3,27,27,17,0,70,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,3,0,0,0,0,0,2,DF,Match Report
406,Fabio Miretti,0,9,1,0,0,18,0,2025-03-02,21-211,it ITA,Genoa,,Empoli,it Serie A,D 1-1,Y,51,0,0,0,0,0,0,0,0,,,0,,,0,9,14,64.3,1,3,0,0,2,175,83,3,3,100.0,2,4,50.0,2,4,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,13,5,0,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2,"MF,FW",Match Report
407,Alessandro Zanoli,0,11,0,0,1,29,1,2025-03-02,24-150,it ITA,Genoa,,Empoli,it Serie A,D 1-1,Y,51,0,0,0,0,0,0,0,0,,,0,,,0,11,20,55.0,0,0,0,0,0,161,6,5,7,71.4,5,9,55.6,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,9,8,12,1,29,1,1,1,0,0,0,2,0.0,2,2,0,2,1,2,2,0,1,0,0,0,0,"FW,DF",Match Report
408,Johan Vásquez,2,55,0,0,0,83,0,2025-03-02,26-131,mx MEX,Genoa,,Empoli,it Serie A,D 1-1,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,11.4,0,55,62,88.7,0,2,0,0,0,1090,417,21,21,100.0,26,29,89.7,8,12,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,17,48,30,5,2,83,0,0,0,0,0,0,0,,0,2,1,1,3,3,12,0,0,0,0,1,2,DF,Match Report
409,Nicola Leali,0,26,0,0,0,44,0,2025-03-02,32-013,it ITA,Genoa,,Empoli,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,42,61.9,0,0,0,0,0,530,276,10,10,100.0,12,12,100.0,4,20,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33,43,1,0,0,44,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
410,Caleb Ekuban,0,1,0,0,0,6,1,2025-03-02,30-344,gh GHA,Genoa,,Empoli,it Serie A,D 1-1,N,24,0,0,0,0,0,0,0,0,,,0,,,0,1,3,33.3,0,0,0,0,0,9,2,1,2,50.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,3,1,0,6,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,1,FW,Match Report
411,Jean Onana,0,5,0,0,0,9,0,2025-03-02,25-053,cm CMR,Genoa,,Empoli,it Serie A,D 1-1,N,24,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,1,0,0,2,137,8,1,1,100.0,2,3,66.7,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,3,2,1,9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,3,0,MF,Match Report
412,Maxwel Cornet,1,3,1,0,0,10,1,2025-03-02,28-156,ci CIV,Genoa,,Empoli,it Serie A,D 1-1,N,39,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.4,0,3,6,50.0,0,0,0,0,0,23,4,3,4,75.0,0,0,,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,6,3,1,10,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
413,Koni De Winter,0,43,1,1,0,70,2,2025-03-02,22-263,be BEL,Genoa,,Empoli,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,43,55,78.2,0,1,0,0,0,711,178,19,22,86.4,21,26,80.8,2,3,66.7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,70,7,39,26,6,1,70,2,1,1,1,0,1,1,100.0,0,1,1,0,0,2,10,0,0,0,0,2,0,DF,Match Report
414,Junior Messias,1,15,1,0,0,35,3,2025-03-02,33-293,br BRA,Genoa,,Empoli,it Serie A,D 1-1,Y,66,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.6,0,15,20,75.0,0,2,0,0,1,264,54,11,14,78.6,1,2,50.0,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,5,8,15,13,0,35,3,3,1,2,0,0,2,0.0,2,0,0,0,0,3,3,0,0,0,0,0,1,"MF,FW",Match Report
415,Morten Frendrup,0,38,1,0,0,57,0,2025-03-02,23-329,dk DEN,Genoa,,Empoli,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,38,46,82.6,1,2,0,0,4,543,111,19,20,95.0,15,17,88.2,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,57,7,21,28,8,1,57,0,0,0,0,0,0,0,,0,3,0,3,0,0,3,0,0,0,0,0,0,MF,Match Report
416,Jeff Ekhator,0,5,0,0,0,11,0,2025-03-02,18-111,it ITA,Genoa,,Empoli,it Serie A,D 1-1,N,39,0,0,0,0,0,0,0,0,,,0,,,0,5,7,71.4,0,1,0,0,2,56,28,4,4,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,3,5,1,11,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,3,0,"FW,MF",Match Report
417,Andrea Pinamonti,1,9,0,0,0,18,1,2025-03-07,25-292,it ITA,Genoa,@,Cagliari,it Serie A,D 1-1,N,39,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.9,0,9,14,64.3,0,1,0,0,2,145,37,5,6,83.3,3,5,60.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,7,4,18,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,FW,Match Report
418,Patrizio Masini,0,20,0,0,1,27,1,2025-03-07,24-039,it ITA,Genoa,@,Cagliari,it Serie A,D 1-1,N,39,0,0,0,0,0,0,0,0,,,0,,,0,20,24,83.3,0,2,1,1,3,341,127,11,13,84.6,6,6,100.0,3,5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,11,13,3,0,27,1,0,1,0,0,0,1,0.0,1,1,0,1,2,3,0,0,1,0,0,2,1,MF,Match Report
419,Aarón Martín,0,58,4,0,0,83,3,2025-03-07,27-319,es ESP,Genoa,@,Cagliari,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,58,79,73.4,3,5,1,1,8,1215,529,22,24,91.7,24,34,70.6,12,21,57.1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,83,0,30,35,19,0,83,3,3,3,0,0,1,1,100.0,0,0,0,0,1,4,0,0,0,0,0,1,0,DF,Match Report
