Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Diego Coppola,0,29,0,0,0,48,2,2025-02-23,21-057,it ITA,Hellas Verona,,Fiorentina,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,29,34,85.3,0,0,0,0,1,581,143,5,7,71.4,23,23,100.0,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,7,32,17,0,0,48,2,0,1,1,0,0,0,,0,1,0,1,2,4,9,0,0,0,0,2,0,DF,Match Report
402,Ondrej Duda,0,32,4,1,1,49,2,2025-02-23,30-080,sk SVK,Hellas Verona,,Fiorentina,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,32,44,72.7,0,4,0,0,6,692,210,10,12,83.3,11,15,73.3,9,14,64.3,4,4,0,0,0,0,0,1,1,0,0,0,0,0,49,1,9,33,7,0,49,2,2,1,1,0,1,2,50.0,1,1,0,1,0,2,1,0,1,0,0,5,2,MF,Match Report
403,Tomáš Suslov,0,22,3,0,0,38,2,2025-02-23,22-261,sk SVK,Hellas Verona,,Fiorentina,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,22,29,75.9,2,2,2,0,8,393,103,12,13,92.3,9,11,81.8,1,3,33.3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,38,0,5,23,11,1,38,2,2,1,1,0,0,2,0.0,2,0,0,0,2,4,0,0,0,0,0,2,5,"MF,FW",Match Report
404,Nicolás Valentini,0,28,0,0,0,56,6,2025-02-23,23-323,ar ARG,Hellas Verona,,Fiorentina,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,44,63.6,0,5,0,0,4,633,320,9,12,75.0,11,12,91.7,8,19,42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,21,31,4,0,56,6,3,3,2,1,4,6,66.7,2,1,0,1,3,9,1,0,0,0,0,4,0,DF,Match Report
405,Davide Faraoni,0,24,1,0,0,41,5,2025-02-23,33-121,it ITA,Hellas Verona,,Fiorentina,it Serie A,W 1-0,Y,76,0,0,0,0,0,0,0,0,,,0,,,0,24,33,72.7,1,0,1,1,0,324,96,17,17,100.0,7,13,53.8,0,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,2,9,19,13,1,41,5,4,3,2,0,1,1,100.0,0,0,0,0,0,5,2,0,0,0,0,1,0,DF,Match Report
406,Jackson Tchatchoua,0,20,0,0,0,30,0,2025-02-23,23-162,cm CMR,Hellas Verona,,Fiorentina,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,20,24,83.3,0,2,0,0,3,358,182,10,11,90.9,7,8,87.5,3,5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,6,15,9,1,30,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1,0,0,0,2,0,"DF,MF",Match Report
407,Dailon Livramento,1,4,1,0,0,16,0,2025-02-23,23-295,cv CPV,Hellas Verona,,Fiorentina,it Serie A,W 1-0,Y,70,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.6,0,4,11,36.4,1,1,0,0,1,38,6,2,6,33.3,1,2,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,5,9,4,16,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,1,0,"FW,MF",Match Report
408,Lorenzo Montipò,0,18,0,0,0,36,0,2025-02-23,29-003,it ITA,Hellas Verona,,Fiorentina,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,34,52.9,0,1,0,0,0,480,390,5,5,100.0,9,9,100.0,4,20,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,29,35,1,0,0,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
409,Daniel Oyegoke,1,8,0,0,1,14,1,2025-02-23,22-051,eng ENG,Hellas Verona,,Fiorentina,it Serie A,W 1-0,N,14,0,0,0,0,0,0,0,1,0.0,,0,0.0,23.2,0,8,9,88.9,0,1,0,0,1,97,59,3,3,100.0,3,3,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,5,8,0,14,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,1,0,0,1,0,DF,Match Report
410,Amin Sarr,2,9,1,0,0,23,1,2025-02-23,23-349,se SWE,Hellas Verona,,Fiorentina,it Serie A,W 1-0,Y,76,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,20.4,0,9,12,75.0,0,1,1,0,3,151,56,5,7,71.4,2,2,100.0,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,11,10,2,23,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,1,1,FW,Match Report
