Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Josep Martinez,0,47,1,0,0,55,0,2025-02-22,26-271,es ESP,Inter,,Genoa,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,47,54,87.0,1,0,0,0,0,1105,747,12,12,100.0,27,27,100.0,8,15,53.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,55,49,55,0,0,0,55,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,GK,Match Report
402,Benjamin Pavard,2,54,1,0,0,69,0,2025-02-22,28-331,fr FRA,Inter,,Genoa,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,16.7,0,54,61,88.5,1,4,0,0,7,913,318,23,26,88.5,26,28,92.9,4,4,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,69,6,28,32,9,3,69,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,4,0,0,0,0,0,0,DF,Match Report
403,Joaquín Correa,0,12,2,0,0,25,1,2025-02-22,30-193,ar ARG,Inter,,Genoa,it Serie A,W 1-0,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,12,17,70.6,0,0,0,0,0,142,17,8,10,80.0,4,4,100.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,25,2,3,6,16,5,25,1,0,0,1,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,0,0,"FW,MF",Match Report
404,Denzel Dumfries,2,31,1,0,0,70,1,2025-02-22,28-310,nl NED,Inter,,Genoa,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,20.5,0,31,52,59.6,0,0,1,0,2,451,141,18,26,69.2,11,18,61.1,1,4,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,70,3,13,20,37,5,70,1,1,0,1,0,0,0,,0,1,0,1,0,1,2,1,0,0,0,4,3,"DF,FW",Match Report
405,Mehdi Taremi,2,11,2,0,0,25,0,2025-02-22,32-219,ir IRN,Inter,,Genoa,it Serie A,W 1-0,N,45,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,6.4,0,11,15,73.3,1,0,0,0,0,108,7,8,10,80.0,2,3,66.7,0,0,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,25,2,4,11,10,7,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,1,FW,Match Report
406,Nicolò Barella,3,46,6,0,0,70,0,2025-02-22,28-015,it ITA,Inter,,Genoa,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,30.7,0,46,60,76.7,4,3,2,0,11,781,229,23,29,79.3,19,21,90.5,4,8,50.0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,70,1,13,39,21,3,70,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,MF,Match Report
407,Alessandro Bastoni,0,74,1,0,0,88,0,2025-02-22,25-315,it ITA,Inter,,Genoa,it Serie A,W 1-0,Y,79,0,0,0,0,0,0,0,0,,,0,,,0,74,82,90.2,0,6,2,1,7,1447,519,31,33,93.9,29,31,93.5,13,16,81.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,88,9,31,40,18,1,88,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,0,0,0,0,0,1,DF,Match Report
408,Matteo Darmian,0,3,1,0,0,6,0,2025-02-22,35-082,it ITA,Inter,,Genoa,it Serie A,W 1-0,N,6,0,0,0,0,0,0,0,0,,,0,,,0,3,5,60.0,1,0,0,0,0,29,6,3,4,75.0,0,0,,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,1,2,1,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
409,Federico Dimarco,2,43,2,0,0,71,2,2025-02-22,27-104,it ITA,Inter,,Genoa,it Serie A,W 1-0,Y,84,0,0,0,0,0,0,0,2,0.0,,0,0.0,17.4,0,43,62,69.4,0,1,2,0,4,677,192,24,28,85.7,16,23,69.6,3,7,42.9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,71,3,14,21,36,8,71,2,2,1,1,0,0,0,,0,1,0,1,0,2,3,0,0,0,0,0,0,"DF,FW",Match Report
410,Piotr Zieliński,0,13,1,1,0,19,0,2025-02-22,30-278,pl POL,Inter,,Genoa,it Serie A,W 1-0,N,26,0,0,0,0,0,0,0,0,,,0,,,0,13,15,86.7,0,1,0,0,2,191,53,7,7,100.0,6,6,100.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,19,1,6,11,2,1,19,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,0,0,0,0,0,1,MF,Match Report
