Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Federico Gatti,0,69,1,0,0,77,1,2024-08-19,26-056,it ITA,Juventus,,Como,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,69,71,97.2,1,0,0,0,1,1255,444,25,25,100.0,41,42,97.6,3,4,75.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,77,4,33,43,1,0,77,1,1,1,0,0,0,0,,0,2,0,2,1,2,2,0,0,0,0,1,0,DF,Match Report
2,Andrea Cambiaso,2,44,2,0,1,62,2,2024-08-19,24-181,it ITA,Juventus,,Como,it Serie A,W 3-0,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,20.1,0,44,49,89.8,2,1,2,2,1,833,165,21,22,95.5,13,15,86.7,9,11,81.8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,62,4,13,33,16,2,62,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,3,0,1,0,0,2,0,"DF,FW",Match Report
3,Nicolò Fagioli,0,18,0,0,0,23,2,2024-08-19,23-189,it ITA,Juventus,,Como,it Serie A,W 3-0,N,24,0,0,0,0,0,0,0,0,,,0,,,0,18,20,90.0,0,1,0,0,1,296,60,8,8,100.0,9,10,90.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,18,2,0,23,2,1,0,2,0,1,1,100.0,0,1,0,1,0,2,0,0,0,0,0,0,1,MF,Match Report
4,Samuel Mbangula,1,29,1,1,0,43,2,2024-08-19,20-216,be BEL,Juventus,,Como,it Serie A,W 3-0,Y,90,1,1,2,1,0,0,0,1,1.0,1.0,1,100.0,18.1,0,29,35,82.9,1,3,0,0,3,338,60,22,25,88.0,5,8,62.5,1,1,100.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,43,0,4,18,21,2,43,2,2,1,0,1,1,1,100.0,0,1,0,1,0,2,0,0,0,0,0,0,2,FW,Match Report
5,Michele Di Gregorio,0,26,0,0,0,28,0,2024-08-19,27-023,it ITA,Juventus,,Como,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,28,92.9,0,0,0,0,0,669,393,4,4,100.0,16,16,100.0,6,8,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,28,0,0,0,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
6,Gleison Bremer,0,85,0,0,0,97,0,2024-08-19,27-154,br BRA,Juventus,,Como,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,85,90,94.4,0,4,0,0,2,1785,578,24,24,100.0,51,55,92.7,10,11,90.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,13,57,40,0,0,97,0,0,0,0,0,0,0,,0,2,2,0,1,1,2,0,0,0,0,1,1,DF,Match Report
7,Douglas Luiz,1,14,0,0,0,18,2,2024-08-19,26-102,br BRA,Juventus,,Como,it Serie A,W 3-0,N,12,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,25.7,0,14,15,93.3,0,1,0,0,2,298,64,5,5,100.0,6,7,85.7,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,3,12,3,0,18,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0,0,0,0,0,0,MF,Match Report
8,Dušan Vlahović,5,6,2,0,0,18,0,2024-08-19,24-204,rs SRB,Juventus,,Como,it Serie A,W 3-0,Y,90,0,0,0,0,0,0,0,5,0.0,0.0,1,20.0,15.7,1,6,9,66.7,0,0,0,0,1,96,20,4,5,80.0,1,3,33.3,1,1,100.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,18,1,1,9,8,5,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,1,FW,Match Report
9,Khéphren Thuram,0,31,1,0,0,42,0,2024-08-19,23-146,fr FRA,Juventus,,Como,it Serie A,W 3-0,Y,66,0,0,0,0,0,0,0,0,,,0,,,0,31,34,91.2,0,3,0,0,3,559,93,15,15,100.0,12,12,100.0,4,5,80.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,4,9,28,5,0,42,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,0,0,0,2,2,MF,Match Report
10,Timothy Weah,1,15,0,0,0,25,0,2024-08-19,24-179,us USA,Juventus,,Como,it Serie A,W 3-0,Y,45,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,16.1,0,15,22,68.2,0,0,1,0,1,211,31,6,8,75.0,9,11,81.8,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,4,10,11,4,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,"DF,FW",Match Report
11,Manuel Locatelli,0,42,3,2,1,51,2,2024-08-19,26-224,it ITA,Juventus,,Como,it Serie A,W 3-0,Y,78,0,0,0,0,0,0,0,0,,,0,,,0,42,46,91.3,0,2,1,0,5,779,256,21,21,100.0,12,14,85.7,8,9,88.9,3,2,1,0,0,0,0,2,1,1,0,0,0,0,51,2,16,30,5,0,51,2,2,1,1,0,0,0,,0,2,0,2,0,2,1,0,1,0,0,2,0,MF,Match Report
12,Kenan Yıldız,2,36,7,2,0,46,3,2024-08-19,19-107,tr TUR,Juventus,,Como,it Serie A,W 3-0,Y,90,0,1,1,0,0,0,0,2,0.0,0.0,1,50.0,35.1,0,36,39,92.3,3,3,2,1,5,820,170,9,9,100.0,20,20,100.0,7,8,87.5,7,5,1,0,0,1,0,2,2,0,0,0,0,0,46,0,4,23,19,3,46,3,0,0,2,1,1,1,100.0,0,0,0,0,0,3,0,0,0,0,0,1,3,"FW,MF",Match Report
