Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Manuel Lazzari,0,55,1,0,0,81,1,2024-08-18,30-263,it ITA,Lazio,,Venezia,it Serie A,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,55,69,79.7,0,4,0,0,2,735,151,36,38,94.7,15,19,78.9,1,4,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,1,8,46,28,2,81,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,0,0,DF,Match Report
2,Gaetano Castrovilli,0,1,1,0,0,3,0,2024-08-18,27-183,it ITA,Lazio,,Venezia,it Serie A,W 3-1,N,4,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100.0,1,1,0,0,1,25,13,0,0,,1,1,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,"MF,FW",Match Report
3,Fisayo Dele-Bashiru,2,43,5,0,0,52,2,2024-08-18,23-194,ng NGA,Lazio,,Venezia,it Serie A,W 3-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,20.0,0,43,46,93.5,1,3,0,0,0,613,44,24,26,92.3,15,15,100.0,2,3,66.7,5,2,0,2,1,0,0,0,0,0,0,0,0,0,52,2,7,28,19,3,52,2,2,0,1,1,0,0,,0,1,0,1,0,2,0,0,0,0,0,2,0,"MF,FW",Match Report
4,Ivan Provedel,0,38,0,0,0,46,0,2024-08-18,30-154,it ITA,Lazio,,Venezia,it Serie A,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,38,43,88.4,0,1,0,0,0,1215,772,3,3,100.0,15,15,100.0,20,25,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,31,44,2,0,0,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,GK,Match Report
5,Tijjani Noslin,0,26,2,1,0,38,1,2024-08-18,25-042,nl NED,Lazio,,Venezia,it Serie A,W 3-1,Y,76,0,0,0,0,0,0,0,0,,,0,,,0,26,32,81.3,1,2,4,2,3,388,101,14,17,82.4,10,11,90.9,1,2,50.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,38,0,0,18,20,0,38,1,1,0,0,1,0,1,0.0,1,3,0,3,0,1,0,0,0,0,0,2,0,"FW,MF",Match Report
6,Pedro,0,1,0,0,0,3,0,2024-08-18,37-021,es ESP,Lazio,,Venezia,it Serie A,W 3-1,N,4,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,9,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,"FW,MF",Match Report
7,Alessio Romagnoli,0,74,0,0,0,88,1,2024-08-18,29-219,it ITA,Lazio,,Venezia,it Serie A,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,74,81,91.4,0,3,0,0,1,1303,456,32,37,86.5,31,32,96.9,8,9,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,9,36,49,3,2,88,1,1,0,1,0,0,0,,0,1,0,1,2,3,1,0,0,0,0,1,0,DF,Match Report
8,Nicolò Casale,1,66,0,0,0,83,4,2024-08-18,26-186,it ITA,Lazio,,Venezia,it Serie A,W 3-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,11.4,0,66,72,91.7,0,6,0,0,3,1371,427,17,19,89.5,39,40,97.5,10,13,76.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,5,25,57,1,1,83,4,3,3,1,0,0,0,,0,4,3,1,0,4,2,0,0,0,0,2,0,DF,Match Report
9,Matías Vecino,0,14,0,0,0,18,0,2024-08-18,32-360,uy URU,Lazio,,Venezia,it Serie A,W 3-1,N,26,0,0,0,0,0,0,0,0,,,0,,,0,14,16,87.5,0,2,0,0,0,319,61,4,5,80.0,6,6,100.0,4,4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,4,11,3,0,18,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,0,0,0,2,0,MF,Match Report
10,Gustav Isaksen,0,3,0,0,0,4,0,2024-08-18,23-121,dk DEN,Lazio,,Venezia,it Serie A,W 3-1,N,14,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,0,0,0,0,0,47,0,2,2,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
