Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Tete Morente,0,11,1,0,0,17,0,2024-08-19,27-259,es ESP,Lecce,,Atalanta,it Serie A,L 0-4,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,11,13,84.6,0,0,0,0,1,173,54,7,9,77.8,3,3,100.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2,10,5,0,17,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,2,0,"FW,MF",Match Report
2,Kialonda,1,42,0,0,0,66,6,2024-08-19,26-327,ao ANG,Lecce,,Atalanta,it Serie A,L 0-4,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.7,0,42,53,79.2,0,1,0,0,0,774,248,13,15,86.7,27,33,81.8,2,5,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,4,37,29,2,2,66,6,3,5,1,0,3,3,100.0,0,2,1,1,3,9,2,0,0,0,0,0,4,DF,Match Report
3,Nikola Krstović,3,14,4,0,0,27,2,2024-08-19,24-136,me MNE,Lecce,,Atalanta,it Serie A,L 0-4,Y,68,0,0,0,0,0,0,0,3,0.0,,0,0.0,10.5,0,14,18,77.8,0,3,0,0,2,200,37,9,10,90.0,4,5,80.0,1,3,33.3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,17,10,3,27,2,0,0,0,2,0,1,0.0,1,0,0,0,0,2,0,0,0,0,0,1,0,FW,Match Report
4,Filip Marchwiński,0,4,0,0,0,5,0,2024-08-19,22-222,pl POL,Lecce,,Atalanta,it Serie A,L 0-4,N,15,0,0,0,0,0,0,0,0,,,0,,,0,4,5,80.0,0,0,0,0,0,60,6,2,3,66.7,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,MF,Match Report
5,Federico Baschirotto,2,39,0,0,0,51,0,2024-08-19,27-334,it ITA,Lecce,,Atalanta,it Serie A,L 0-4,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,10.4,0,39,46,84.8,0,1,0,0,1,732,218,13,15,86.7,23,25,92.0,3,6,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,6,34,13,4,3,51,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,0,0,0,1,0,DF,Match Report
6,Hamza Rafia,2,43,9,0,0,59,1,2024-08-19,25-139,tn TUN,Lecce,,Atalanta,it Serie A,L 0-4,Y,82,0,0,0,0,0,0,0,2,0.0,,0,0.0,21.0,0,43,50,86.0,4,7,4,3,7,796,349,19,23,82.6,18,19,94.7,6,8,75.0,9,8,0,0,0,0,1,0,0,0,0,0,0,0,59,0,11,38,10,2,59,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,3,4,MF,Match Report
7,Valentin Gendrey,1,20,3,0,0,37,2,2024-08-19,24-059,fr FRA,Lecce,,Atalanta,it Serie A,L 0-4,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.0,0,20,30,66.7,2,2,2,1,3,381,178,8,10,80.0,9,14,64.3,3,6,50.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,37,0,6,23,8,1,37,2,2,1,0,1,1,1,100.0,0,1,0,1,1,3,1,0,0,0,0,1,1,DF,Match Report
8,Lassana Coulibaly,0,20,1,0,0,29,0,2024-08-19,28-131,ml MLI,Lecce,,Atalanta,it Serie A,L 0-4,N,45,0,0,0,0,0,0,0,0,,,0,,,0,20,23,87.0,1,4,1,0,2,314,82,11,13,84.6,7,8,87.5,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,2,5,21,3,1,29,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,MF,Match Report
9,Lameck Banda,1,17,2,0,0,24,0,2024-08-19,23-203,zm ZAM,Lecce,,Atalanta,it Serie A,L 0-4,N,45,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,5.5,0,17,18,94.4,0,0,2,0,2,211,63,11,11,100.0,6,6,100.0,0,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,12,10,1,24,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,1,4,"FW,MF",Match Report
10,Medon Berisha,2,7,0,0,0,14,1,2024-08-19,20-303,al ALB,Lecce,,Atalanta,it Serie A,L 0-4,N,8,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,30.8,0,7,11,63.6,0,1,0,0,1,104,32,3,5,60.0,4,5,80.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,6,6,1,14,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,MF,Match Report
