Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Andrea Petagna,3,10,0,0,0,30,0,2024-08-17,29-048,it ITA,Monza,@,Empoli,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,15.2,0,10,21,47.6,0,1,0,0,0,123,9,6,10,60.0,3,5,60.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,18,8,6,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,2,3,FW,Match Report
2,Giorgos Kyriakopoulos,0,46,2,0,0,72,1,2024-08-17,28-194,gr GRE,Monza,@,Empoli,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,46,64,71.9,2,1,1,0,3,675,254,25,28,89.3,16,24,66.7,3,8,37.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,72,6,30,31,11,0,72,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,3,0,0,0,0,0,0,DF,Match Report
3,Warren Bondo,0,24,1,0,0,34,2,2024-08-17,20-337,fr FRA,Monza,@,Empoli,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,30,80.0,1,2,0,0,3,339,61,13,15,86.7,10,14,71.4,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1,10,24,1,0,34,2,1,1,0,1,1,2,50.0,1,1,0,1,1,3,0,0,0,0,0,2,3,MF,Match Report
4,Samuele Birindelli,1,28,1,0,0,48,4,2024-08-17,25-029,it ITA,Monza,@,Empoli,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,17.3,0,28,38,73.7,0,1,0,0,1,405,113,17,19,89.5,8,12,66.7,2,4,50.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1,17,24,9,1,48,4,4,2,2,0,1,1,100.0,0,2,1,1,0,4,2,0,0,0,0,3,1,"DF,MF",Match Report
5,Luca Caldirola,1,55,0,0,1,72,0,2024-08-17,33-198,it ITA,Monza,@,Empoli,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.5,0,55,65,84.6,0,2,1,0,2,1068,444,20,20,100.0,26,28,92.9,8,14,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,5,48,20,4,1,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,1,0,0,4,1,DF,Match Report
6,Semuel Pizzignacco,0,25,0,0,0,41,0,2024-08-17,22-351,it ITA,Monza,@,Empoli,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,40,62.5,0,0,0,0,0,694,449,3,3,100.0,14,15,93.3,7,21,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,36,41,0,0,0,41,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,GK,Match Report
7,Gianluca Caprari,0,9,1,0,0,13,1,2024-08-17,31-018,it ITA,Monza,@,Empoli,it Serie A,D 0-0,N,22,0,0,0,0,0,0,0,0,,,0,,,0,9,12,75.0,0,0,0,0,0,173,43,4,4,100.0,4,7,57.1,1,1,100.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,8,5,0,13,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,"MF,FW",Match Report
8,Matteo Pessina,0,9,1,0,0,18,3,2024-08-17,27-118,it ITA,Monza,@,Empoli,it Serie A,D 0-0,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,9,12,75.0,0,0,0,0,0,133,11,4,4,100.0,5,6,83.3,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,11,1,0,18,3,2,1,2,0,2,2,100.0,0,0,0,0,0,3,0,0,0,0,0,0,1,MF,Match Report
9,Daniel Maldini,1,6,0,0,1,25,1,2024-08-17,22-311,it ITA,Monza,@,Empoli,it Serie A,D 0-0,Y,61,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.7,0,6,16,37.5,0,0,0,0,1,127,12,1,6,16.7,3,4,75.0,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,6,15,4,0,25,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,1,0,1,0,0,2,3,"MF,FW",Match Report
10,Armando Izzo,0,61,0,0,0,81,0,2024-08-17,32-168,it ITA,Monza,@,Empoli,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,61,69,88.4,1,2,0,0,2,1213,303,16,17,94.1,37,38,97.4,7,12,58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,13,53,25,3,1,81,0,0,0,0,0,0,1,0.0,1,2,2,0,3,3,4,0,0,0,0,4,1,DF,Match Report
