Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Giovanni Simeone,1,2,1,0,0,4,0,2024-12-01,29-149,ar ARG,Napoli,@,Torino,it Serie A,W 1-0,N,4,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,12.4,0,2,2,100.0,0,0,0,0,0,46,11,0,0,,2,2,100.0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
202,Leonardo Spinazzola,0,3,1,0,0,6,0,2024-12-01,31-251,it ITA,Napoli,@,Torino,it Serie A,W 1-0,N,16,0,0,0,0,0,0,0,0,,,0,,,0,3,4,75.0,1,0,0,0,0,45,23,1,1,100.0,2,2,100.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,3,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"DF,FW",Match Report
203,Mathías Olivera,1,46,3,0,0,67,1,2024-12-01,27-031,uy URU,Napoli,@,Torino,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,8.2,0,46,55,83.6,2,7,1,1,6,729,255,24,24,100.0,17,22,77.3,5,6,83.3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,67,2,28,31,8,1,67,1,0,1,0,0,0,0,,0,0,0,0,1,2,6,0,0,0,0,1,2,DF,Match Report
204,Alessandro Buongiorno,1,55,1,0,0,79,1,2024-12-01,25-178,it ITA,Napoli,@,Torino,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.5,0,55,67,82.1,0,5,0,0,1,1075,400,16,19,84.2,34,37,91.9,4,9,44.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,79,8,49,29,1,1,79,1,0,0,1,0,0,0,,0,0,0,0,3,4,6,0,0,0,0,0,0,DF,Match Report
205,Amir Rrahmani,1,53,1,0,0,71,4,2024-12-01,30-281,xk KVX,Napoli,@,Torino,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.6,0,53,59,89.8,0,4,0,0,3,1065,377,18,20,90.0,26,27,96.3,8,10,80.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,71,8,43,27,2,1,71,4,4,3,1,0,3,3,100.0,0,2,1,1,0,4,5,0,0,0,0,1,0,DF,Match Report
206,David Neres,0,3,0,0,0,4,0,2024-12-01,27-273,br BRA,Napoli,@,Torino,it Serie A,W 1-0,N,11,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,0,0,0,45,5,1,1,100.0,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
207,Matteo Politano,1,21,4,0,0,41,0,2024-12-01,31-120,it ITA,Napoli,@,Torino,it Serie A,W 1-0,Y,74,0,0,0,0,0,0,0,1,0.0,,0,0.0,23.7,0,21,33,63.6,3,0,2,2,2,379,120,7,9,77.8,13,17,76.5,1,5,20.0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,41,0,6,11,24,2,41,0,0,0,0,0,0,4,0.0,4,2,0,2,0,0,1,0,0,0,0,0,0,"FW,MF",Match Report
208,Romelu Lukaku,4,13,2,0,0,21,0,2024-12-01,31-202,be BEL,Napoli,@,Torino,it Serie A,W 1-0,Y,86,0,0,0,0,0,0,0,4,0.0,0.0,2,50.0,16.5,0,13,14,92.9,1,0,0,0,2,142,21,9,10,90.0,3,3,100.0,0,0,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,5,16,7,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,1,FW,Match Report
209,Andre-Frank Zambo Anguissa,0,34,3,0,1,46,1,2024-12-01,29-015,cm CMR,Napoli,@,Torino,it Serie A,W 1-0,Y,86,0,0,0,0,0,0,0,0,,,0,,,0,34,41,82.9,1,7,0,0,6,501,149,18,20,90.0,14,16,87.5,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,46,0,4,27,15,0,46,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,1,3,MF,Match Report
210,Alex Meret,0,40,0,0,0,43,0,2024-12-01,27-254,it ITA,Napoli,@,Torino,it Serie A,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,40,43,93.0,0,0,0,0,0,1047,589,2,2,100.0,29,30,96.7,9,11,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,39,43,0,0,0,43,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
