Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Matteo Cancellieri,1,15,3,2,0,28,2,2024-11-23,22-285,it ITA,Parma,,Atalanta,it Serie A,L 1-3,Y,81,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,17.2,0,15,20,75.0,1,0,0,0,0,196,9,6,9,66.7,7,8,87.5,0,0,,3,1,0,2,0,0,0,2,0,0,2,0,0,0,28,0,2,14,14,4,28,2,0,1,0,1,0,0,,0,1,0,1,1,3,0,0,0,0,0,1,2,"FW,MF",Match Report
202,Woyo Coulibaly,1,45,1,0,0,61,0,2024-11-23,25-187,ml MLI,Parma,,Atalanta,it Serie A,L 1-3,Y,70,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.5,0,45,52,86.5,1,3,0,0,1,636,258,24,26,92.3,17,20,85.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,61,1,11,43,7,0,61,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0,0,0,0,0,0,DF,Match Report
203,Gabriel Charpentier,0,1,0,0,0,4,0,2024-11-23,25-190,cg CGO,Parma,,Atalanta,it Serie A,L 1-3,N,9,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,1,0,0,0,0,13,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
204,Nahuel Estévez,1,34,1,0,0,48,2,2024-11-23,29-009,ar ARG,Parma,,Atalanta,it Serie A,L 1-3,Y,70,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.4,0,34,41,82.9,0,3,0,0,5,534,182,15,15,100.0,17,22,77.3,1,1,100.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1,6,33,9,0,48,2,2,0,1,1,1,2,50.0,1,3,0,3,1,3,1,0,0,0,0,1,0,MF,Match Report
205,Mohamed Haj,0,14,1,0,0,18,0,2024-11-23,19-242,tn TUN,Parma,,Atalanta,it Serie A,L 1-3,N,20,0,0,0,0,0,0,0,0,,,0,,,0,14,17,82.4,0,1,0,0,0,175,37,8,8,100.0,4,5,80.0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,5,8,5,0,18,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,MF,Match Report
206,Emanuele Valeri,2,34,2,0,0,59,1,2024-11-23,25-352,it ITA,Parma,,Atalanta,it Serie A,L 1-3,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,24.1,0,34,49,69.4,0,2,1,0,3,598,232,18,25,72.0,13,18,72.2,3,5,60.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,59,2,10,28,21,2,59,1,0,0,1,0,0,1,0.0,1,1,1,0,0,1,1,0,0,0,0,1,0,DF,Match Report
207,Dennis Man,2,18,7,0,0,29,0,2024-12-01,26-097,ro ROU,Parma,,Lazio,it Serie A,W 3-1,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,12.2,0,18,24,75.0,3,2,0,0,2,232,111,11,12,91.7,5,7,71.4,1,1,100.0,7,5,0,2,0,0,0,0,0,0,0,0,0,0,29,0,4,7,18,2,29,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,2,0,"FW,MF",Match Report
208,Botond Balogh,0,19,0,0,1,43,2,2024-12-01,22-178,hu HUN,Parma,,Lazio,it Serie A,W 3-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,19,23,82.6,0,0,0,0,0,342,111,8,9,88.9,10,12,83.3,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,22,33,10,0,0,43,2,1,0,2,0,1,1,100.0,0,4,4,0,1,3,12,0,1,0,0,2,0,DF,Match Report
209,Adrian Benedyczak,0,1,0,0,0,6,0,2024-12-01,24-007,pl POL,Parma,,Lazio,it Serie A,W 3-1,N,9,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,10,0,1,2,50.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,1,0,6,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,0,0,0,1,0,"FW,MF",Match Report
210,Enrico Del Prato,2,11,1,1,0,35,0,2024-12-01,25-021,it ITA,Parma,,Lazio,it Serie A,W 3-1,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,15.3,0,11,21,52.4,0,0,0,0,2,203,91,2,3,66.7,9,13,69.2,0,4,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,35,10,18,11,6,2,35,0,0,0,0,0,0,0,,0,2,1,1,2,2,7,0,0,0,0,0,1,DF,Match Report
