Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Tommaso Baldanzi,1,10,1,0,0,17,1,2024-08-18,21-148,it ITA,Roma,@,Cagliari,it Serie A,D 0-0,N,30,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.3,0,10,12,83.3,0,0,0,0,0,148,21,5,7,71.4,5,5,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,5,11,2,17,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,2,"MF,FW",Match Report
2,Bryan Cristante,1,51,3,0,0,73,2,2024-08-18,29-168,it ITA,Roma,@,Cagliari,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,12.4,0,51,59,86.4,1,8,0,0,9,1081,340,15,16,93.8,29,30,96.7,7,11,63.6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,73,3,16,50,7,3,73,2,1,1,1,0,1,1,100.0,0,1,1,0,4,6,1,0,0,0,0,1,2,MF,Match Report
3,Angeliño,1,48,0,0,0,68,4,2024-08-18,27-227,es ESP,Roma,@,Cagliari,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,26.9,0,48,61,78.7,0,7,1,0,8,823,484,26,27,96.3,17,25,68.0,4,8,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,19,37,12,0,68,4,1,0,2,2,1,1,100.0,0,0,0,0,0,4,2,0,0,0,0,0,2,DF,Match Report
4,Zeki Çelik,1,45,0,0,0,66,2,2024-08-18,27-183,tr TUR,Roma,@,Cagliari,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.6,0,45,58,77.6,0,6,0,0,7,666,352,26,30,86.7,14,20,70.0,3,6,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,18,30,19,2,66,2,1,1,0,1,1,3,33.3,2,0,0,0,1,3,2,0,0,0,0,1,0,DF,Match Report
5,Obite N'Dicka,0,47,1,0,0,63,0,2024-08-18,24-364,ci CIV,Roma,@,Cagliari,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,47,55,85.5,0,2,0,0,4,814,295,24,26,92.3,19,23,82.6,4,6,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,63,16,35,26,2,0,63,0,0,0,0,0,0,0,,0,2,2,0,0,0,4,0,0,0,0,1,0,DF,Match Report
6,Nicola Zalewski,1,19,2,0,0,35,0,2024-08-18,22-208,pl POL,Roma,@,Cagliari,it Serie A,D 0-0,Y,68,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.2,0,19,26,73.1,2,0,1,1,0,292,33,14,17,82.4,3,6,50.0,1,1,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,16,18,2,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"DF,FW",Match Report
7,Lorenzo Pellegrini,2,24,5,0,0,44,0,2024-08-18,28-060,it ITA,Roma,@,Cagliari,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,19.7,0,24,30,80.0,3,2,2,0,2,412,103,13,15,86.7,7,9,77.8,4,5,80.0,5,3,1,0,0,1,0,0,0,0,0,0,0,0,44,2,6,15,23,1,44,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,0,0,0,1,1,MF,Match Report
8,Gianluca Mancini,1,35,0,0,0,44,0,2024-08-18,28-123,it ITA,Roma,@,Cagliari,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,24.5,0,35,39,89.7,0,3,0,0,3,678,290,16,17,94.1,13,14,92.9,6,8,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5,22,17,6,1,44,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,2,0,0,0,0,1,3,DF,Match Report
9,Artem Dovbyk,3,13,1,0,0,27,0,2024-08-18,27-058,ua UKR,Roma,@,Cagliari,it Serie A,D 0-0,Y,89,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,12.5,0,13,17,76.5,0,1,0,0,0,150,22,8,10,80.0,4,5,80.0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,27,2,3,12,12,3,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,2,0,FW,Match Report
10,Enzo Le Fée,0,20,1,0,0,38,0,2024-08-18,24-197,fr FRA,Roma,@,Cagliari,it Serie A,D 0-0,Y,60,0,0,0,0,0,0,0,0,,,0,,,0,20,32,62.5,1,0,1,0,3,316,39,10,17,58.8,8,9,88.9,1,4,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,8,12,18,3,38,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,0,0,0,0,1,MF,Match Report
11,Mile Svilar,0,32,1,0,0,42,0,2024-08-18,24-357,rs SRB,Roma,@,Cagliari,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,32,40,80.0,0,0,0,0,0,732,488,9,9,100.0,17,17,100.0,6,14,42.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,34,42,0,0,0,42,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
12,Matìas Soulé,2,39,6,0,0,66,0,2024-08-18,21-125,ar ARG,Roma,@,Cagliari,it Serie A,D 0-0,Y,89,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,24.3,0,39,50,78.0,2,1,2,0,4,548,123,24,26,92.3,12,18,66.7,1,2,50.0,6,4,1,0,0,1,0,0,0,0,0,0,0,0,66,2,5,25,38,6,66,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,2,0,0,0,0,0,1,"MF,DF",Match Report
13,Stephan El Shaarawy,1,2,0,0,0,3,0,2024-08-18,31-296,it ITA,Roma,@,Cagliari,it Serie A,D 0-0,N,1,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.1,0,2,2,100.0,0,0,0,0,0,17,16,2,2,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"DF,MF",Match Report
14,Paulo Dybala,1,9,4,0,0,16,0,2024-08-18,30-277,ar ARG,Roma,@,Cagliari,it Serie A,D 0-0,N,22,0,0,0,0,0,0,0,1,0.0,,0,0.0,25.4,1,9,13,69.2,3,2,0,0,1,204,72,2,2,100.0,4,4,100.0,3,6,50.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,16,1,4,4,8,2,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,"FW,MF",Match Report
15,Tammy Abraham,0,1,0,0,0,4,0,2024-08-18,26-321,eng ENG,Roma,@,Cagliari,it Serie A,D 0-0,N,1,0,0,0,0,0,0,0,0,,,0,,,0,1,3,33.3,0,1,0,0,1,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,1,4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
16,Tommaso Baldanzi,3,19,4,2,0,25,3,2024-08-25,21-155,it ITA,Roma,,Empoli,it Serie A,L 1-2,N,28,0,1,1,0,0,0,0,3,0.0,,0,0.0,18.5,0,19,20,95.0,1,1,1,0,1,259,47,11,11,100.0,7,7,100.0,0,1,0.0,4,3,0,0,0,0,1,2,1,0,0,0,0,1,25,0,3,7,16,4,25,3,1,2,1,0,0,0,,0,0,0,0,1,4,0,0,0,0,0,0,0,"MF,FW",Match Report
17,Bryan Cristante,0,26,2,0,0,38,2,2024-08-25,29-175,it ITA,Roma,,Empoli,it Serie A,L 1-2,Y,61,0,0,0,0,0,0,0,0,,,0,,,0,26,36,72.2,1,1,0,0,4,318,68,19,21,90.5,6,8,75.0,0,3,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,38,1,7,22,9,1,38,2,2,0,2,0,0,0,,0,1,1,0,0,2,0,0,0,0,0,1,0,MF,Match Report
18,Angeliño,0,94,4,0,0,111,0,2024-08-25,27-234,es ESP,Roma,,Empoli,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,94,108,87.0,2,12,5,2,17,1735,609,44,45,97.8,38,40,95.0,11,20,55.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,111,2,27,64,23,1,111,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,1,DF,Match Report
19,Zeki Çelik,0,33,0,0,0,45,0,2024-08-25,27-190,tr TUR,Roma,,Empoli,it Serie A,L 1-2,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,33,41,80.5,0,3,0,0,3,500,192,16,16,100.0,14,17,82.4,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,7,32,6,0,45,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,0,0,0,1,0,DF,Match Report
20,Obite N'Dicka,0,80,0,0,0,86,2,2024-08-25,25-005,ci CIV,Roma,,Empoli,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,80,82,97.6,0,3,0,0,4,1399,368,30,30,100.0,45,45,100.0,4,5,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,8,42,43,2,0,86,2,2,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0,0,0,0,0,1,DF,Match Report
21,Nicola Zalewski,1,29,5,0,0,42,0,2024-08-25,22-215,pl POL,Roma,,Empoli,it Serie A,L 1-2,N,45,0,0,0,0,0,0,0,1,0.0,,0,0.0,17.1,0,29,38,76.3,3,2,4,3,4,488,175,14,16,87.5,12,13,92.3,3,6,50.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,42,0,5,17,21,4,42,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,"DF,FW",Match Report
22,Lorenzo Pellegrini,4,38,3,0,0,58,0,2024-08-25,28-067,it ITA,Roma,,Empoli,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,4,0.0,0.0,1,25.0,16.6,0,38,46,82.6,1,1,0,0,2,685,89,18,20,90.0,16,20,80.0,4,6,66.7,3,1,1,0,1,0,0,0,0,0,0,0,0,0,58,1,5,22,31,8,58,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,1,1,MF,Match Report
23,Eldor Shomurodov,3,6,3,0,0,11,0,2024-08-25,29-057,uz UZB,Roma,,Empoli,it Serie A,L 1-2,N,14,1,0,1,1,0,0,0,3,0.33,0.33,3,100.0,8.9,0,6,8,75.0,1,0,0,0,1,68,14,6,6,100.0,0,0,,0,0,,3,2,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,4,7,5,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
24,Gianluca Mancini,2,74,3,0,0,93,2,2024-08-25,28-130,it ITA,Roma,,Empoli,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,12.5,0,74,85,87.1,2,4,1,0,7,1268,424,28,29,96.6,40,42,95.2,5,10,50.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,93,1,33,44,16,5,93,2,1,1,1,0,2,2,100.0,0,1,1,0,1,3,0,0,0,0,0,2,2,DF,Match Report
25,Artem Dovbyk,3,11,4,0,0,18,0,2024-08-25,27-065,ua UKR,Roma,,Empoli,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,10.5,0,11,12,91.7,1,1,0,0,0,127,7,9,10,90.0,2,2,100.0,0,0,,4,3,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,5,13,9,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,FW,Match Report
26,Enzo Le Fée,3,30,4,0,0,39,2,2024-08-25,24-204,fr FRA,Roma,,Empoli,it Serie A,L 1-2,N,29,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,25.0,0,30,34,88.2,1,4,0,0,2,482,111,17,18,94.4,12,15,80.0,1,1,100.0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,39,1,2,27,11,1,39,2,2,0,2,0,0,1,0.0,1,2,1,1,0,2,0,0,0,0,0,1,0,MF,Match Report
27,Mile Svilar,1,33,1,0,0,37,0,2024-08-25,24-364,rs SRB,Roma,,Empoli,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.5,0,33,33,100.0,0,0,0,0,1,695,305,8,8,100.0,21,21,100.0,4,4,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,17,34,2,1,1,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
28,Matìas Soulé,1,39,4,0,0,65,1,2024-08-25,21-132,ar ARG,Roma,,Empoli,it Serie A,L 1-2,Y,76,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.8,0,39,48,81.3,1,2,3,1,4,483,118,26,27,96.3,8,13,61.5,1,1,100.0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,65,0,5,16,45,5,65,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,0,0,0,1,2,"MF,DF",Match Report
29,Leandro Paredes,1,40,3,0,0,49,0,2024-08-25,30-057,ar ARG,Roma,,Empoli,it Serie A,L 1-2,Y,62,0,0,0,0,0,0,0,1,0.0,,0,0.0,14.5,0,40,42,95.2,1,3,1,0,3,761,164,13,14,92.9,23,24,95.8,4,4,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,49,3,14,23,12,1,49,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,1,1,0,0,0,1,0,MF,Match Report
30,Paulo Dybala,5,37,8,0,0,60,0,2024-08-25,30-284,ar ARG,Roma,,Empoli,it Serie A,L 1-2,Y,90,0,0,0,0,0,0,0,5,0.0,,0,0.0,22.3,0,37,49,75.5,4,3,1,1,3,548,102,20,23,87.0,11,13,84.6,3,10,30.0,8,4,2,0,2,0,0,0,0,0,0,0,0,0,60,0,5,20,35,2,60,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,3,"FW,MF",Match Report
31,Tommaso Baldanzi,0,5,0,0,0,7,0,2024-09-01,21-162,it ITA,Roma,@,Juventus,it Serie A,D 0-0,N,9,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,0,0,0,1,57,9,4,5,80.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,3,4,0,7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
32,Bryan Cristante,0,46,1,0,0,62,0,2024-09-01,29-182,it ITA,Roma,@,Juventus,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,46,54,85.2,1,1,1,0,1,823,177,18,21,85.7,26,28,92.9,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62,4,9,41,12,0,62,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,4,0,0,0,0,1,1,MF,Match Report
33,Angeliño,1,52,4,0,0,69,0,2024-09-01,27-241,es ESP,Roma,@,Juventus,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,31.7,0,52,62,83.9,0,6,2,1,5,928,291,23,25,92.0,26,29,89.7,3,8,37.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,69,5,20,36,13,0,69,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,0,0,0,1,1,DF,Match Report
