Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Adam Masina,1,54,1,0,0,67,1,2024-11-24,30-327,ma MAR,Torino,,Monza,it Serie A,D 1-1,Y,90,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,7.9,0,54,64,84.4,0,6,0,0,5,1085,476,15,16,93.8,33,38,86.8,5,9,55.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,67,4,28,37,2,1,67,1,1,1,0,0,1,3,33.3,2,1,0,1,1,2,2,0,0,0,0,0,2,DF,Match Report
202,Che Adams,2,15,0,0,1,26,1,2024-11-24,28-134,sct SCO,Torino,,Monza,it Serie A,D 1-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,13.8,0,15,16,93.8,0,3,1,0,2,272,57,8,8,100.0,5,5,100.0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,15,11,4,26,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,2,0,FW,Match Report
203,Valentino Lazaro,0,27,0,0,0,34,2,2024-12-01,28-252,at AUT,Torino,,Napoli,it Serie A,L 0-1,N,45,0,0,0,0,0,0,0,0,,,0,,,0,27,31,87.1,0,2,1,1,2,446,101,15,15,100.0,10,11,90.9,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,5,18,11,0,34,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0,0,0,0,1,1,"DF,FW",Match Report
204,Antonio Sanabria,0,12,2,0,0,15,0,2024-12-01,28-272,py PAR,Torino,,Napoli,it Serie A,L 0-1,Y,63,0,0,0,0,0,0,0,0,,,0,,,0,12,12,100.0,1,1,0,0,1,201,49,6,6,100.0,5,5,100.0,1,1,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,8,5,2,15,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,FW,Match Report
205,Alieu Njie,0,2,0,0,0,7,0,2024-12-01,19-201,se SWE,Torino,,Napoli,it Serie A,L 0-1,N,27,0,0,0,0,0,0,0,0,,,0,,,0,2,5,40.0,0,0,0,0,0,18,10,2,3,66.7,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,"FW,MF",Match Report
206,Sebastian Walukiewicz,0,43,1,0,1,63,1,2024-12-01,24-240,pl POL,Torino,,Napoli,it Serie A,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,43,57,75.4,0,4,0,0,3,855,128,16,18,88.9,20,28,71.4,7,10,70.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,63,5,17,38,10,0,63,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,3,0,1,0,0,3,2,DF,Match Report
207,Gvidas Gineitis,0,30,1,0,0,41,1,2024-12-01,20-230,lt LTU,Torino,,Napoli,it Serie A,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,36,83.3,1,0,1,1,0,495,86,17,18,94.4,10,11,90.9,3,5,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,1,10,17,14,1,41,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,2,0,0,0,0,2,0,MF,Match Report
208,Marcus Pedersen,0,13,0,0,1,17,0,2024-12-01,24-138,no NOR,Torino,,Napoli,it Serie A,L 0-1,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,13,13,100.0,0,0,0,0,1,192,29,5,5,100.0,7,7,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,8,7,0,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,DF,Match Report
209,Yann Karamoh,1,2,0,0,0,11,0,2024-12-01,26-146,fr FRA,Torino,,Napoli,it Serie A,L 0-1,N,16,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,15.4,0,2,9,22.2,0,0,0,0,1,17,2,2,5,40.0,0,3,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,3,7,1,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"MF,FW",Match Report
210,Samuele Ricci,1,35,2,0,1,51,3,2024-12-01,23-102,it ITA,Torino,,Napoli,it Serie A,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,25.6,0,35,42,83.3,1,2,1,0,5,585,131,17,21,81.0,16,18,88.9,2,3,66.7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,51,3,9,29,14,0,51,3,1,2,0,1,2,2,100.0,0,1,1,0,2,5,3,0,1,0,0,1,2,MF,Match Report
