Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
401,Daniel Fila,0,6,2,0,0,11,0,2025-02-22,22-185,cz CZE,Venezia,,Lazio,it Serie A,D 0-0,N,14,0,0,0,0,0,0,0,0,,,0,,,0,6,7,85.7,2,1,2,0,3,83,34,2,2,100.0,3,4,75.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,2,8,2,11,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,0,FW,Match Report
402,Fali Candé,0,49,0,0,0,64,1,2025-02-22,27-029,gw GNB,Venezia,,Lazio,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,49,55,89.1,0,5,0,0,1,970,267,16,17,94.1,24,24,100.0,9,14,64.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,12,39,23,3,1,64,1,1,1,0,0,0,0,,0,0,0,0,2,3,4,0,0,0,0,0,0,DF,Match Report
403,Gianluca Busio,0,0,0,0,0,5,1,2025-02-22,22-270,us USA,Venezia,,Lazio,it Serie A,D 0-0,N,15,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,1,1,5,1,0,0,0,1,0,0,,0,1,0,1,0,1,2,0,0,0,0,0,0,MF,Match Report
404,Gaetano Oristanio,1,9,1,0,0,22,1,2025-02-22,22-147,it ITA,Venezia,,Lazio,it Serie A,D 0-0,Y,75,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,22.0,0,9,14,64.3,1,3,1,1,2,160,46,3,4,75.0,6,7,85.7,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,3,8,12,2,22,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,2,1,"FW,MF",Match Report
405,Ionuț Radu,0,24,0,0,0,38,0,2025-02-22,27-270,ro ROU,Venezia,,Lazio,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,36,66.7,0,0,0,0,0,530,327,4,4,100.0,18,18,100.0,2,14,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,38,0,0,0,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
406,Mirko Marić,3,11,1,0,0,29,1,2025-02-22,29-282,hr CRO,Venezia,,Lazio,it Serie A,D 0-0,Y,76,0,0,0,0,0,0,0,3,0.0,,0,0.0,10.9,0,11,16,68.8,0,3,0,0,2,179,36,5,9,55.6,5,5,100.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,3,5,10,15,5,29,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,3,0,0,0,0,1,1,FW,Match Report
407,John Yeboah,2,2,1,0,0,5,0,2025-02-22,24-244,ec ECU,Venezia,,Lazio,it Serie A,D 0-0,N,15,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,14.1,0,2,2,100.0,0,0,1,0,2,53,39,0,0,,1,1,100.0,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,4,3,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
408,Jay Idzes,0,44,1,0,0,54,0,2025-02-22,24-265,id IDN,Venezia,,Lazio,it Serie A,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,44,46,95.7,0,1,0,0,1,961,242,7,7,100.0,31,32,96.9,6,7,85.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,54,6,31,20,3,0,54,0,0,0,0,0,0,0,,0,1,0,1,0,0,6,0,0,0,0,4,1,DF,Match Report
409,Hans Nicolussi Caviglia,0,23,0,0,1,37,1,2025-02-22,24-249,it ITA,Venezia,,Lazio,it Serie A,D 0-0,Y,86,0,0,0,0,0,0,0,0,,,0,,,0,23,30,76.7,0,3,0,0,3,406,96,11,11,100.0,9,11,81.8,3,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,7,25,5,0,37,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,1,0,0,3,2,MF,Match Report
410,Issa Doumbia,1,13,0,0,0,25,2,2025-02-22,21-129,it ITA,Venezia,,Lazio,it Serie A,D 0-0,Y,75,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.5,0,13,17,76.5,0,0,0,0,2,167,51,7,8,87.5,5,7,71.4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,4,13,8,0,25,2,2,0,1,1,1,2,50.0,1,3,2,1,2,4,1,0,0,0,0,1,0,MF,Match Report
