Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
1,Marin Šverko,0,43,1,0,0,58,1,2024-08-18,26-196,hr CRO,Venezia,@,Lazio,it Serie A,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,43,52,82.7,0,6,1,0,4,737,395,17,18,94.4,21,24,87.5,3,5,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,58,4,23,31,4,0,58,1,0,1,0,0,0,0,,0,0,0,0,5,6,4,0,0,0,0,2,1,DF,Match Report
2,Domen Črnigoj,0,5,1,0,0,15,3,2024-08-18,28-274,si SVN,Venezia,@,Lazio,it Serie A,L 1-3,N,21,0,0,0,0,0,0,0,0,,,0,,,0,5,9,55.6,0,0,1,0,1,77,26,1,2,50.0,3,4,75.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,5,8,1,15,3,1,0,0,3,1,1,100.0,0,0,0,0,1,4,1,0,0,0,0,1,0,MF,Match Report
3,Richie Sagrado,1,3,0,0,1,8,1,2024-08-18,20-201,be BEL,Venezia,@,Lazio,it Serie A,L 1-3,Y,52,0,0,0,0,0,0,0,1,0.0,,0,0.0,23.2,0,3,4,75.0,0,0,0,0,0,39,9,2,3,66.7,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,5,1,0,8,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,1,0,0,1,1,DF,Match Report
4,Alfred Duncan,1,21,1,0,0,35,2,2024-08-18,31-161,gh GHA,Venezia,@,Lazio,it Serie A,L 1-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,26.6,0,21,27,77.8,0,1,0,0,0,342,68,10,12,83.3,7,10,70.0,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,1,7,23,5,0,35,2,0,1,1,0,1,4,25.0,3,1,0,1,1,3,0,0,0,0,0,2,4,MF,Match Report
5,Gaetano Oristanio,0,2,1,0,0,9,1,2024-08-18,21-325,it ITA,Venezia,@,Lazio,it Serie A,L 1-3,Y,52,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,1,0,0,0,1,33,10,1,1,100.0,1,1,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,5,2,1,9,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,2,"FW,MF",Match Report
6,Nicholas Pierini,1,9,1,0,0,18,0,2024-08-18,26-012,it ITA,Venezia,@,Lazio,it Serie A,L 1-3,N,38,0,0,0,0,0,0,0,1,0.0,,0,0.0,32.9,1,9,13,69.2,1,1,0,0,0,138,42,6,8,75.0,2,3,66.7,1,2,50.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,5,4,9,3,18,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,1,MF,Match Report
7,Jesse Joronen,0,24,0,0,0,34,0,2024-08-18,31-150,fi FIN,Venezia,@,Lazio,it Serie A,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,24,30,80.0,0,0,0,0,0,497,291,4,4,100.0,17,17,100.0,3,9,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,34,0,0,0,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
8,Michael Svoboda,0,28,3,0,0,41,1,2024-08-18,25-308,at AUT,Venezia,@,Lazio,it Serie A,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,32,87.5,1,3,0,0,3,504,255,8,8,100.0,18,21,85.7,1,1,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,41,12,23,18,0,0,41,1,0,0,1,0,0,0,,0,1,1,0,0,1,4,1,0,0,0,1,0,DF,Match Report
9,Francesco Zampano,1,19,0,0,0,35,3,2024-08-18,30-323,it ITA,Venezia,@,Lazio,it Serie A,L 1-3,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,20.5,0,19,27,70.4,0,0,1,1,0,253,65,14,15,93.3,4,9,44.4,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,8,10,17,2,35,3,2,1,1,1,0,3,0.0,3,1,0,1,1,4,0,0,0,0,0,1,0,DF,Match Report
10,Christian Gytkjær,1,9,1,0,0,21,1,2024-08-18,34-104,dk DEN,Venezia,@,Lazio,it Serie A,L 1-3,Y,85,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.2,0,9,15,60.0,1,1,0,0,0,92,5,6,8,75.0,2,3,66.7,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,2,14,6,0,21,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,0,0,0,0,0,FW,Match Report
