Nombre,Posición,Edad,Nacionalidad,Altura,Pie hábil,Contrato,Valor de mercado,Equipo,Liga,Lesión
Diant Ramaj,Goalkeeper,24,"['Germany', 'Kosovo']",189,right,6/30/2026,7000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Frank Feller,Goalkeeper,21,['Germany'],183,right,6/30/2029,500000,1.FCHeidenheim1846,Bundesliga,Torn lateral knee ligament - Return unknown
Kevin Müller,Goalkeeper,34,['Germany'],190,right,6/30/2027,400000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Paul Tschernuth,Goalkeeper,23,['Austria'],186,left,6/30/2027,100000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Benedikt Gimber,Centre-Back,28,['Germany'],187,left,6/30/2028,3000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Patrick Mainka,Centre-Back,30,['Germany'],194,right,6/30/2029,3000000,1.FCHeidenheim1846,Bundesliga,Team captain
Tim Siersleben,Centre-Back,25,['Germany'],187,left,6/30/2028,2000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Adam Kölle,Centre-Back,19,['Germany'],195,right,6/30/2026,800000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Thomas Keller,Centre-Back,26,['Germany'],186,right,6/30/2028,500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Jonas Föhrenbach,Left-Back,29,['Germany'],184,left,6/30/2027,1500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Leart Paçarada,Left-Back,31,"['Kosovo', 'Germany']",184,left,6/30/2027,1500000,1.FCHeidenheim1846,Bundesliga,Cruciate ligament tear - Return unknown
Omar Traoré,Right-Back,27,"['Germany', 'Togo']",187,right,6/30/2026,4000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Marnon Busch,Right-Back,30,['Germany'],182,right,6/30/2027,1200000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Niklas Dorsch,Defensive Midfield,27,['Germany'],178,right,6/30/2028,3500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Julian Niehues,Defensive Midfield,24,['Germany'],195,right,6/30/2027,1500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Jan Schöppner,Central Midfield,26,['Germany'],190,right,6/30/2028,4000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Luca Kerber,Central Midfield,23,['Germany'],184,right,6/30/2027,2500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Nick Rothweiler,Central Midfield,19,['Germany'],190,left,6/30/2027,,1.FCHeidenheim1846,Bundesliga,Sin lesión
Arijon Ibrahimovic,Attacking Midfield,19,"['Germany', 'Kosovo']",178,right,6/30/2026,4000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Adrian Beck,Attacking Midfield,28,['Germany'],186,right,6/30/2028,2000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Mathias Honsak,Left Winger,28,['Austria'],188,left,6/30/2027,2000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Yannik Wagner,Left Winger,18,['Germany'],182,left,6/30/2029,500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Sirlord Conteh,Right Winger,29,"['Germany', 'Ghana']",178,right,6/30/2027,1500000,1.FCHeidenheim1846,Bundesliga,Meniscus tear - Return unknown
Marvin Pieringer,Centre-Forward,26,['Germany'],191,right,6/30/2027,5500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Budu Zivzivadze,Centre-Forward,31,['Georgia'],189,both,6/30/2029,2000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Mikkel Kaufmann,Centre-Forward,24,['Denmark'],189,right,6/30/2028,1800000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Stefan Schimmer,Centre-Forward,31,['Germany'],185,right,6/30/2026,500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Frederik Rönnow,Goalkeeper,33,['Denmark'],188,right,,3000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Matheo Raab,Goalkeeper,26,['Germany'],186,right,,600000,1.FCUnionBerlin,Bundesliga,Sin lesión
Carl Klaus,Goalkeeper,31,['Germany'],189,right,,350000,1.FCUnionBerlin,Bundesliga,Sin lesión
Leopold Querfeld,Centre-Back,21,['Austria'],190,right,,15000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Danilho Doekhi,Centre-Back,27,"['Netherlands', 'Suriname']",190,right,6/30/2026,13000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Diogo Leite,Centre-Back,26,['Portugal'],190,left,6/30/2026,12000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Stanley Nsoki,Centre-Back,26,"['France', 'DR Congo']",184,left,6/30/2026,2500000,1.FCUnionBerlin,Bundesliga,Sin lesión
Oluwaseun Ogbemudia,Centre-Back,19,"['Germany', 'Nigeria']",188,right,6/30/2026,,1.FCUnionBerlin,Bundesliga,Sin lesión
Tom Rothe,Left-Back,20,['Germany'],193,left,,10000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Derrick Köhn,Left-Back,26,"['Ghana', 'Germany']",180,left,6/30/2029,5000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Andrik Markgraf,Left-Back,19,['Germany'],172,left,,,1.FCUnionBerlin,Bundesliga,fatigue fracture - Return unknown
Josip Juranovic,Right-Back,30,['Croatia'],173,right,,3000000,1.FCUnionBerlin,Bundesliga,Fitness - Return unknown
Christopher Trimmel,Right-Back,38,['Austria'],189,right,6/30/2026,600000,1.FCUnionBerlin,Bundesliga,Team captain
Aljoscha Kemlein,Defensive Midfield,21,['Germany'],187,right,,7000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Rani Khedira,Defensive Midfield,31,"['Germany', 'Tunisia']",189,right,6/30/2026,2500000,1.FCUnionBerlin,Bundesliga,Sin lesión
András Schäfer,Central Midfield,26,['Hungary'],178,right,6/30/2027,5000000,1.FCUnionBerlin,Bundesliga,Knock - Return unknown
Alex Král,Central Midfield,27,['Czech Republic'],186,right,,5000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Janik Haberer,Central Midfield,31,['Germany'],187,right,6/30/2027,2500000,1.FCUnionBerlin,Bundesliga,Sin lesión
Robert Skov,Left Midfield,29,['Denmark'],185,left,,4000000,1.FCUnionBerlin,Bundesliga,Knock - Return unknown
Woo-yeong Jeong,Attacking Midfield,26,"['Korea, South']",179,right,,4000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Livan Burcu,Left Winger,21,"['Türkiye', 'Germany']",180,right,,4000000,1.FCUnionBerlin,Bundesliga,Ankle injury - Return unknown
David Preu,Left Winger,20,['Germany'],172,right,,400000,1.FCUnionBerlin,Bundesliga,Sin lesión
Ilyas Ansah,Centre-Forward,20,"['Germany', 'Ghana']",197,right,,10000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Andrej Ilic,Centre-Forward,25,['Serbia'],189,right,6/30/2027,6000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Oliver Burke,Centre-Forward,28,['Scotland'],188,right,6/30/2029,4000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Marin Ljubicic,Centre-Forward,23,['Croatia'],183,right,,3000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Tim Skarke,Centre-Forward,29,['Germany'],181,right,,2000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Dmytro Bogdanov,Centre-Forward,18,['Ukraine'],188,right,6/30/2029,250000,1.FCUnionBerlin,Bundesliga,Sin lesión
Robin Zentner,Goalkeeper,30,['Germany'],194,right,6/30/2028,4000000,1.FSVMainz05,Bundesliga,Sin lesión
Lasse Rieß,Goalkeeper,24,['Germany'],192,right,6/30/2027,400000,1.FSVMainz05,Bundesliga,Sin lesión
Daniel Batz,Goalkeeper,34,['Germany'],191,both,6/30/2026,250000,1.FSVMainz05,Bundesliga,Sin lesión
Andreas Hanche-Olsen,Centre-Back,28,['Norway'],185,right,6/30/2028,6000000,1.FSVMainz05,Bundesliga,Sin lesión
Dominik Kohr,Centre-Back,31,['Germany'],183,right,6/30/2028,3500000,1.FSVMainz05,Bundesliga,special leave -  - cross-competition
Maxim Leitsch,Centre-Back,27,['Germany'],189,left,6/30/2026,1500000,1.FSVMainz05,Bundesliga,influenza - Return unknown
Danny da Costa,Centre-Back,32,"['Germany', 'Angola']",187,right,6/30/2026,1500000,1.FSVMainz05,Bundesliga,Sin lesión
Stefan Bell,Centre-Back,34,['Germany'],192,right,6/30/2026,800000,1.FSVMainz05,Bundesliga,Sin lesión
